MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/3/2025 14:46:04,1.17.0,Bandit100,20,4.18,,20,0,100,Right,Right,0,1,0,0,,,0.0
3/3/2025 14:53:05,1.17.0,Bandit100,20,4.19,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.55
3/3/2025 14:59:14,1.17.0,Bandit100,20,4.19,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.29
3/3/2025 15:01:52,1.17.0,Bandit100,20,4.19,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.11
3/3/2025 15:04:22,1.17.0,Bandit100,20,4.18,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.1
3/3/2025 15:05:31,1.17.0,Bandit100,20,4.18,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.26
3/3/2025 15:19:12,1.17.0,Bandit100,20,4.19,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.55
3/3/2025 15:23:35,1.17.0,Bandit100,20,4.18,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.29
3/3/2025 15:23:44,1.17.0,Bandit100,20,4.19,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.25
3/3/2025 15:27:55,1.17.0,Bandit100,20,4.18,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.37
3/3/2025 15:30:12,1.17.0,Bandit100,20,4.19,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.15
3/3/2025 15:30:57,1.17.0,Bandit100,20,4.18,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.21
3/3/2025 15:35:28,1.17.0,Bandit100,20,4.18,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.16
3/3/2025 15:35:56,1.17.0,Bandit100,20,4.18,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.25
3/3/2025 15:35:57,1.17.0,Bandit100,20,4.18,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.01
3/3/2025 15:44:01,1.17.0,Bandit100,20,4.18,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.24
3/3/2025 15:48:13,1.17.0,Bandit100,20,4.18,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.84
3/3/2025 15:48:16,1.17.0,Bandit100,20,4.18,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.66
3/3/2025 15:48:18,1.17.0,Bandit100,20,4.18,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.64
3/3/2025 15:48:55,1.17.0,Bandit100,20,4.18,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.34
3/3/2025 15:50:08,1.17.0,Bandit100,20,4.18,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.14
3/3/2025 16:00:25,1.17.0,Bandit100,20,4.18,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.28
3/3/2025 16:00:48,1.17.0,Bandit100,20,4.18,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.18
3/3/2025 16:02:31,1.17.0,Bandit100,20,4.18,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.16
3/3/2025 16:02:39,1.17.0,Bandit100,20,4.18,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.1
3/3/2025 16:02:39,1.17.0,Bandit100,20,4.18,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.05
3/3/2025 16:03:19,1.17.0,Bandit100,20,4.19,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.12
3/3/2025 16:03:36,1.17.0,Bandit100,20,4.19,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.19
3/3/2025 16:04:01,1.17.0,Bandit100,20,4.18,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.15
3/3/2025 16:04:38,1.17.0,Bandit100,20,4.18,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.02
3/3/2025 16:04:41,1.17.0,Bandit100,20,4.18,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.62
