MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/10/2025 13:16:45,1.17.0,FR1,2,4.01,nan,1,Left,Left,1,0,0,0,nan,nan,0.08
7/10/2025 13:16:48,1.17.0,FR1,2,4.00,2,1,Pellet,Left,1,0,1,0,0.81,nan,nan
7/10/2025 13:17:39,1.17.0,FR1,2,4.01,nan,1,Right,Left,1,1,1,0,nan,nan,0.16
7/10/2025 13:24:32,1.17.0,FR1,2,4.02,nan,1,Left,Left,2,1,1,0,nan,nan,0.16
7/10/2025 13:24:34,1.17.0,FR1,2,4.02,1,1,Pellet,Left,2,1,2,0,1.32,466,nan
7/10/2025 13:25:02,1.17.0,FR1,2,4.02,nan,1,Left,Left,3,1,2,0,nan,nan,0.13
7/10/2025 13:25:04,1.17.0,FR1,2,4.01,1,1,Pellet,Left,3,1,3,0,0.82,30,nan
7/10/2025 13:26:44,1.17.0,FR1,2,4.02,nan,1,Left,Left,4,1,3,0,nan,nan,0.16
7/10/2025 13:26:45,1.17.0,FR1,2,4.02,1,1,Pellet,Left,4,1,4,0,0.50,101,nan
7/10/2025 13:27:14,1.17.0,FR1,2,4.02,nan,1,Left,Left,5,1,4,0,nan,nan,0.14
7/10/2025 13:27:15,1.17.0,FR1,2,4.01,1,1,Pellet,Left,5,1,5,0,0.75,30,nan
7/10/2025 13:29:14,1.17.0,FR1,2,4.01,nan,1,Right,Left,5,2,5,0,nan,nan,0.09
7/10/2025 13:29:15,1.17.0,FR1,2,4.01,nan,1,Right,Left,5,3,5,0,nan,nan,0.14
7/10/2025 14:49:12,1.17.0,FR1,2,4.02,nan,1,Right,Left,5,4,5,0,nan,nan,1.31
7/10/2025 15:20:06,1.17.0,FR1,2,4.02,nan,1,Right,Left,5,5,5,0,nan,nan,0.41
7/10/2025 15:33:03,1.17.0,FR1,2,4.02,nan,1,Right,Left,5,6,5,0,nan,nan,0.19
7/10/2025 15:49:51,1.17.0,FR1,2,4.01,nan,1,Right,Left,5,7,5,0,nan,nan,0.34
7/10/2025 15:49:53,1.17.0,FR1,2,4.00,nan,1,Right,Left,5,8,5,0,nan,nan,0.15
7/10/2025 15:50:08,1.17.0,FR1,2,4.02,nan,1,Right,Left,5,9,5,0,nan,nan,0.33
7/10/2025 15:51:44,1.17.0,FR1,2,4.02,nan,1,Right,Left,5,10,5,0,nan,nan,93.76
7/10/2025 15:51:58,1.17.0,FR1,2,4.01,nan,1,Right,Left,5,11,5,0,nan,nan,12.81
7/10/2025 15:52:04,1.17.0,FR1,2,4.01,nan,1,Right,Left,5,12,5,0,nan,nan,5.52
7/10/2025 15:52:44,1.17.0,FR1,2,4.01,nan,1,Right,Left,5,13,5,0,nan,nan,33.98
7/10/2025 16:01:43,1.17.0,FR1,2,4.00,nan,1,Right,Left,5,14,5,0,nan,nan,0.00
