MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/3/2025 13:18:55,1.17.0,FR1,7,4.03,nan,1,Right,Left,0,1,0,0,nan,nan,0.05
4/3/2025 13:21:17,1.17.0,FR1,7,4.03,nan,1,Left,Left,1,1,0,0,nan,nan,0.04
4/3/2025 13:21:21,1.17.0,FR1,7,4.03,nan,1,LeftWithPellet,Left,2,1,0,0,nan,nan,0.09
4/3/2025 13:22:11,1.17.0,FR1,7,4.03,nan,1,LeftWithPellet,Left,3,1,0,0,nan,nan,0.02
4/3/2025 13:24:39,1.17.0,FR1,7,4.03,nan,1,LeftWithPellet,Left,4,1,0,0,nan,nan,0.07
4/3/2025 13:28:30,1.17.0,FR1,7,4.02,1,1,Pellet,Left,4,1,1,0,Timed_out,nan,nan
4/3/2025 13:35:27,1.17.0,FR1,7,4.03,nan,1,Right,Left,4,2,1,0,nan,nan,0.15
4/3/2025 14:31:29,1.17.0,FR1,7,4.03,nan,1,Right,Left,4,3,1,0,nan,nan,0.18
4/3/2025 14:48:16,1.17.0,FR1,7,4.02,nan,1,Right,Left,4,4,1,0,nan,nan,0.04
4/3/2025 14:48:18,1.17.0,FR1,7,4.02,nan,1,Right,Left,4,5,1,0,nan,nan,0.02
4/3/2025 14:48:20,1.17.0,FR1,7,4.02,nan,1,Right,Left,4,6,1,0,nan,nan,0.22
4/3/2025 14:48:21,1.17.0,FR1,7,4.02,nan,1,Right,Left,4,7,1,0,nan,nan,0.24
4/3/2025 14:48:22,1.17.0,FR1,7,4.02,nan,1,Right,Left,4,8,1,0,nan,nan,0.24
4/3/2025 14:48:24,1.17.0,FR1,7,4.02,nan,1,Right,Left,4,9,1,0,nan,nan,0.91
4/3/2025 14:48:25,1.17.0,FR1,7,4.02,nan,1,Right,Left,4,10,1,0,nan,nan,0.25
4/3/2025 14:48:27,1.17.0,FR1,7,4.02,nan,1,Right,Left,4,11,1,0,nan,nan,0.23
4/3/2025 14:48:29,1.17.0,FR1,7,4.03,nan,1,Left,Left,5,11,1,0,nan,nan,0.10
4/3/2025 14:48:32,1.17.0,FR1,7,4.03,1,1,Pellet,Left,5,11,2,0,2.33,4802,nan
4/3/2025 14:49:03,1.17.0,FR1,7,4.02,nan,1,Right,Left,5,12,2,0,nan,nan,0.22
4/3/2025 14:49:05,1.17.0,FR1,7,4.02,nan,1,Right,Left,5,13,2,0,nan,nan,0.04
4/3/2025 14:49:06,1.17.0,FR1,7,4.02,nan,1,Right,Left,5,14,2,0,nan,nan,0.33
4/3/2025 14:49:09,1.17.0,FR1,7,4.03,nan,1,Right,Left,5,15,2,0,nan,nan,0.37
4/3/2025 14:49:12,1.17.0,FR1,7,4.02,nan,1,Left,Left,6,15,2,0,nan,nan,0.19
4/3/2025 14:49:13,1.17.0,FR1,7,4.02,1,1,Pellet,Left,6,15,3,0,0.88,41,nan
4/3/2025 14:49:52,1.17.0,FR1,7,4.03,nan,1,Left,Left,7,15,3,0,nan,nan,0.05
4/3/2025 14:49:53,1.17.0,FR1,7,4.03,1,1,Pellet,Left,7,15,4,0,0.75,40,nan
4/3/2025 14:50:20,1.17.0,FR1,7,4.03,nan,1,Right,Left,7,16,4,0,nan,nan,0.31
4/3/2025 14:50:24,1.17.0,FR1,7,4.02,nan,1,Right,Left,7,17,4,0,nan,nan,0.33
4/3/2025 14:50:25,1.17.0,FR1,7,4.02,nan,1,Right,Left,7,18,4,0,nan,nan,0.48
4/3/2025 14:50:29,1.17.0,FR1,7,4.03,nan,1,Right,Left,7,19,4,0,nan,nan,0.28
4/3/2025 14:50:31,1.17.0,FR1,7,4.03,nan,1,Right,Left,7,20,4,0,nan,nan,0.23
4/3/2025 14:50:37,1.17.0,FR1,7,4.02,nan,1,Left,Left,8,20,4,0,nan,nan,0.38
4/3/2025 14:50:38,1.17.0,FR1,7,4.02,1,1,Pellet,Left,8,20,5,0,0.50,45,nan
4/3/2025 14:51:03,1.17.0,FR1,7,4.02,nan,1,Right,Left,8,21,5,0,nan,nan,0.20
4/3/2025 14:51:04,1.17.0,FR1,7,4.03,nan,1,Right,Left,8,22,5,0,nan,nan,0.28
4/3/2025 14:51:09,1.17.0,FR1,7,4.02,nan,1,Right,Left,8,23,5,0,nan,nan,0.22
4/3/2025 14:51:10,1.17.0,FR1,7,4.02,nan,1,Right,Left,8,24,5,0,nan,nan,0.30
4/3/2025 14:51:13,1.17.0,FR1,7,4.03,nan,1,Right,Left,8,25,5,0,nan,nan,0.19
4/3/2025 14:51:15,1.17.0,FR1,7,4.02,nan,1,Right,Left,8,26,5,0,nan,nan,0.25
4/3/2025 14:51:18,1.17.0,FR1,7,4.02,nan,1,Left,Left,9,26,5,0,nan,nan,0.06
4/3/2025 14:51:20,1.17.0,FR1,7,4.02,1,1,Pellet,Left,9,26,6,0,0.63,42,nan
4/3/2025 14:51:41,1.17.0,FR1,7,4.02,nan,1,Left,Left,10,26,6,0,nan,nan,0.09
4/3/2025 14:51:42,1.17.0,FR1,7,4.02,1,1,Pellet,Left,10,26,7,0,0.25,22,nan
4/3/2025 14:52:49,1.17.0,FR1,7,4.02,nan,1,Left,Left,11,26,7,0,nan,nan,0.09
4/3/2025 14:52:51,1.17.0,FR1,7,4.02,1,1,Pellet,Left,11,26,8,0,0.69,69,nan
