MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/3/2025 14:10:45,1.17.0,FR1,8,3.90,nan,1,Right,Left,0,1,0,0,nan,nan,0.48
4/3/2025 14:10:55,1.17.0,FR1,8,3.89,nan,1,Left,Left,1,1,0,0,nan,nan,0.07
4/3/2025 14:12:48,1.17.0,FR1,8,3.89,1,1,Pellet,Left,1,1,1,0,Timed_out,nan,nan
4/3/2025 14:14:37,1.17.0,FR1,8,3.89,nan,1,Right,Left,1,2,1,0,nan,nan,0.06
4/3/2025 14:15:45,1.17.0,FR1,8,3.89,nan,1,Left,Left,2,2,1,0,nan,nan,0.09
4/3/2025 14:16:41,1.17.0,FR1,8,3.89,nan,1,RightWithPellet,Left,2,3,1,0,nan,nan,0.16
4/3/2025 14:18:49,1.17.0,FR1,8,3.89,nan,1,RightWithPellet,Left,2,4,1,0,nan,nan,0.07
4/3/2025 14:18:51,1.17.0,FR1,8,3.89,nan,1,RightWithPellet,Left,2,5,1,0,nan,nan,0.19
4/3/2025 14:18:52,1.17.0,FR1,8,3.89,1,1,Pellet,Left,2,5,2,0,Timed_out,364,nan
4/3/2025 14:19:17,1.17.0,FR1,8,3.89,nan,1,Right,Left,2,6,2,0,nan,nan,0.06
4/3/2025 14:19:21,1.17.0,FR1,8,3.89,nan,1,Right,Left,2,7,2,0,nan,nan,0.14
4/3/2025 14:19:36,1.17.0,FR1,8,3.89,nan,1,Left,Left,3,7,2,0,nan,nan,0.31
4/3/2025 14:19:38,1.17.0,FR1,8,3.89,1,1,Pellet,Left,3,7,3,0,1.70,46,nan
4/3/2025 14:20:03,1.17.0,FR1,8,3.89,nan,1,Left,Left,4,7,3,0,nan,nan,0.22
4/3/2025 14:20:05,1.17.0,FR1,8,3.89,1,1,Pellet,Left,4,7,4,0,0.69,27,nan
4/3/2025 14:20:28,1.17.0,FR1,8,3.89,nan,1,Left,Left,5,7,4,0,nan,nan,0.03
4/3/2025 14:20:29,1.17.0,FR1,8,3.90,1,1,Pellet,Left,5,7,5,0,0.82,24,nan
4/3/2025 14:20:47,1.17.0,FR1,8,3.89,nan,1,Left,Left,6,7,5,0,nan,nan,0.59
4/3/2025 14:20:49,1.17.0,FR1,8,3.89,1,1,Pellet,Left,6,7,6,0,1.19,20,nan
4/3/2025 14:49:59,1.17.0,FR1,8,3.89,nan,1,Right,Left,6,8,6,0,nan,nan,0.02
4/3/2025 14:50:01,1.17.0,FR1,8,3.89,nan,1,Right,Left,6,9,6,0,nan,nan,0.06
4/3/2025 14:50:03,1.17.0,FR1,8,3.89,nan,1,Right,Left,6,10,6,0,nan,nan,0.16
4/3/2025 14:50:07,1.17.0,FR1,8,3.89,nan,1,Right,Left,6,11,6,0,nan,nan,0.24
4/3/2025 14:50:08,1.17.0,FR1,8,3.89,nan,1,Right,Left,6,12,6,0,nan,nan,0.20
4/3/2025 14:50:37,1.17.0,FR1,8,3.89,nan,1,Left,Left,7,12,6,0,nan,nan,0.28
4/3/2025 14:50:39,1.17.0,FR1,8,3.89,1,1,Pellet,Left,7,12,7,0,1.07,1790,nan
4/3/2025 14:51:13,1.17.0,FR1,8,3.89,nan,1,Left,Left,8,12,7,0,nan,nan,0.02
4/3/2025 14:51:16,1.17.0,FR1,8,3.89,1,1,Pellet,Left,8,12,8,0,1.76,37,nan
