MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
5/1/2025 12:30:29,1.17.0,FR1,17,3.64,nan,1,Left,Left,1,0,0,0,nan,nan,0.14
5/1/2025 12:30:41,1.17.0,FR1,17,3.64,1,1,Pellet,Left,1,0,1,0,10.70,nan,nan
5/1/2025 12:32:14,1.17.0,FR1,17,3.64,nan,1,Right,Left,1,1,1,0,nan,nan,0.13
5/1/2025 12:32:15,1.17.0,FR1,17,3.64,nan,1,Right,Left,1,2,1,0,nan,nan,0.19
5/1/2025 12:33:12,1.17.0,FR1,17,3.64,nan,1,Left,Left,2,2,1,0,nan,nan,0.26
5/1/2025 12:33:15,1.17.0,FR1,17,3.64,1,1,Pellet,Left,2,2,2,0,1.95,154,nan
5/1/2025 12:33:35,1.17.0,FR1,17,3.64,nan,1,Left,Left,3,2,2,0,nan,nan,0.19
5/1/2025 12:33:36,1.17.0,FR1,17,3.64,1,1,Pellet,Left,3,2,3,0,0.37,21,nan
5/1/2025 12:33:53,1.17.0,FR1,17,3.64,nan,1,Left,Left,4,2,3,0,nan,nan,0.20
5/1/2025 12:33:54,1.17.0,FR1,17,3.64,1,1,Pellet,Left,4,2,4,0,0.63,18,nan
5/1/2025 12:34:10,1.17.0,FR1,17,3.64,nan,1,Left,Left,5,2,4,0,nan,nan,0.14
5/1/2025 12:34:12,1.17.0,FR1,17,3.64,1,1,Pellet,Left,5,2,5,0,0.56,18,nan
5/1/2025 12:34:25,1.17.0,FR1,17,3.64,nan,1,Left,Left,6,2,5,0,nan,nan,0.10
5/1/2025 12:34:27,1.17.0,FR1,17,3.64,1,1,Pellet,Left,6,2,6,0,0.63,15,nan
5/1/2025 12:35:33,1.17.0,FR1,17,3.64,nan,1,Left,Left,7,2,6,0,nan,nan,0.21
5/1/2025 12:35:34,1.17.0,FR1,17,3.64,1,1,Pellet,Left,7,2,7,0,0.69,67,nan
5/1/2025 12:35:52,1.17.0,FR1,17,3.64,nan,1,Left,Left,8,2,7,0,nan,nan,0.20
5/1/2025 12:35:55,1.17.0,FR1,17,3.64,2,1,Pellet,Left,8,2,8,0,0.88,21,nan
5/1/2025 12:36:13,1.17.0,FR1,17,3.64,nan,1,Left,Left,9,2,8,0,nan,nan,0.22
5/1/2025 12:36:14,1.17.0,FR1,17,3.64,1,1,Pellet,Left,9,2,9,0,0.63,19,nan
5/1/2025 12:36:35,1.17.0,FR1,17,3.64,nan,1,Left,Left,10,2,9,0,nan,nan,0.05
5/1/2025 12:36:36,1.17.0,FR1,17,3.64,1,1,Pellet,Left,10,2,10,0,0.44,22,nan
5/1/2025 12:36:55,1.17.0,FR1,17,3.64,nan,1,Left,Left,11,2,10,0,nan,nan,0.27
5/1/2025 12:36:57,1.17.0,FR1,17,3.64,1,1,Pellet,Left,11,2,11,0,1.00,21,nan
5/1/2025 12:37:19,1.17.0,FR1,17,3.64,nan,1,Left,Left,12,2,11,0,nan,nan,0.25
5/1/2025 12:37:20,1.17.0,FR1,17,3.64,1,1,Pellet,Left,12,2,12,0,0.25,23,nan
5/1/2025 12:37:38,1.17.0,FR1,17,3.64,nan,1,Left,Left,13,2,12,0,nan,nan,0.10
5/1/2025 12:37:40,1.17.0,FR1,17,3.64,1,1,Pellet,Left,13,2,13,0,0.82,20,nan
5/1/2025 12:39:24,1.17.0,FR1,17,3.64,nan,1,Left,Left,14,2,13,0,nan,nan,0.18
5/1/2025 12:39:25,1.17.0,FR1,17,3.64,1,1,Pellet,Left,14,2,14,0,0.81,105,nan
5/1/2025 14:09:46,1.17.0,FR1,17,3.64,nan,1,Left,Left,15,2,14,0,nan,nan,0.39
5/1/2025 14:09:48,1.17.0,FR1,17,3.64,1,1,Pellet,Left,15,2,15,0,1.89,5423,nan
5/1/2025 14:10:36,1.17.0,FR1,17,3.64,nan,1,Left,Left,16,2,15,0,nan,nan,0.00
5/1/2025 14:10:38,1.17.0,FR1,17,3.64,1,1,Pellet,Left,16,2,16,0,0.75,50,nan
5/1/2025 14:11:09,1.17.0,FR1,17,3.64,nan,1,Left,Left,17,2,16,0,nan,nan,0.26
5/1/2025 14:11:11,1.17.0,FR1,17,3.64,1,1,Pellet,Left,17,2,17,0,1.19,33,nan
