MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/6/2025 15:37:42,1.17.0,FR1,33,4.00,nan,1,Left,Left,1,0,0,0,nan,nan,0.08
3/6/2025 15:37:44,1.17.0,FR1,33,4.00,1,1,Pellet,Left,1,0,1,0,1.32,nan,nan
3/6/2025 15:38:56,1.17.0,FR1,33,4.00,nan,1,Left,Left,2,0,1,0,nan,nan,0.07
3/6/2025 15:38:58,1.17.0,FR1,33,4.01,1,1,Pellet,Left,2,0,2,0,1.64,74,nan
3/6/2025 15:39:27,1.17.0,FR1,33,4.01,nan,1,Right,Left,2,1,2,0,nan,nan,0.06
3/6/2025 15:39:28,1.17.0,FR1,33,4.01,nan,1,Right,Left,2,2,2,0,nan,nan,0.00
3/6/2025 16:44:15,1.17.0,FR1,33,4.01,nan,1,Left,Left,3,2,2,0,nan,nan,0.08
3/6/2025 16:44:18,1.17.0,FR1,33,4.01,1,1,Pellet,Left,3,2,3,0,1.57,3919,nan
3/6/2025 16:44:49,1.17.0,FR1,33,4.00,nan,1,Left,Left,4,2,3,0,nan,nan,0.00
3/6/2025 16:45:00,1.17.0,FR1,33,4.01,1,1,Pellet,Left,4,2,4,0,11.08,43,nan
3/6/2025 16:46:02,1.17.0,FR1,33,4.00,nan,1,Right,Left,4,3,4,0,nan,nan,0.15
3/6/2025 16:46:11,1.17.0,FR1,33,4.00,nan,1,Left,Left,5,3,4,0,nan,nan,0.35
3/6/2025 16:46:12,1.17.0,FR1,33,4.01,nan,1,LeftDuringDispense,Left,6,3,4,0,nan,nan,0.06
3/6/2025 16:46:17,1.17.0,FR1,33,4.00,2,1,Pellet,Left,6,3,5,0,2.27,77,nan
3/6/2025 16:46:39,1.17.0,FR1,33,4.01,nan,1,Left,Left,7,3,5,0,nan,nan,0.07
3/6/2025 16:46:40,1.17.0,FR1,33,4.00,1,1,Pellet,Left,7,3,6,0,0.94,23,nan
3/6/2025 16:46:55,1.17.0,FR1,33,4.00,nan,1,Left,Left,8,3,6,0,nan,nan,0.27
3/6/2025 16:46:58,1.17.0,FR1,33,4.00,1,1,Pellet,Left,8,3,7,0,2.59,18,nan
3/6/2025 16:47:14,1.17.0,FR1,33,4.00,nan,1,Left,Left,9,3,7,0,nan,nan,0.08
3/6/2025 16:47:16,1.17.0,FR1,33,4.00,1,1,Pellet,Left,9,3,8,0,0.82,18,nan
3/6/2025 17:04:26,1.17.0,FR1,33,4.00,nan,1,Left,Left,10,3,8,0,nan,nan,0.40
3/6/2025 17:04:30,1.17.0,FR1,33,4.01,1,1,Pellet,Left,10,3,9,0,3.35,1034,nan
3/6/2025 17:04:50,1.17.0,FR1,33,4.00,nan,1,Left,Left,11,3,9,0,nan,nan,0.02
3/6/2025 17:04:52,1.17.0,FR1,33,4.00,1,1,Pellet,Left,11,3,10,0,1.32,22,nan
3/6/2025 17:05:12,1.17.0,FR1,33,4.00,nan,1,Left,Left,12,3,10,0,nan,nan,0.04
3/6/2025 17:05:16,1.17.0,FR1,33,4.00,2,1,Pellet,Left,12,3,11,0,1.13,24,nan
3/6/2025 17:05:32,1.17.0,FR1,33,4.00,nan,1,Left,Left,13,3,11,0,nan,nan,0.01
3/6/2025 17:05:35,1.17.0,FR1,33,4.00,1,1,Pellet,Left,13,3,12,0,1.95,19,nan
3/6/2025 17:05:52,1.17.0,FR1,33,4.01,nan,1,Left,Left,14,3,12,0,nan,nan,0.09
3/6/2025 17:05:54,1.17.0,FR1,33,4.00,1,1,Pellet,Left,14,3,13,0,1.26,19,nan
3/6/2025 17:52:24,1.17.0,FR1,33,4.00,nan,1,Right,Left,14,4,13,0,nan,nan,0.01
3/6/2025 17:52:29,1.17.0,FR1,33,4.00,nan,1,Right,Left,14,5,13,0,nan,nan,0.17
3/6/2025 17:52:32,1.17.0,FR1,33,4.00,nan,1,Left,Left,15,5,13,0,nan,nan,0.39
3/6/2025 17:52:33,1.17.0,FR1,33,4.00,1,1,Pellet,Left,15,5,14,0,1.20,2799,nan
3/6/2025 17:52:50,1.17.0,FR1,33,4.00,nan,1,Left,Left,16,5,14,0,nan,nan,0.06
3/6/2025 17:52:53,1.17.0,FR1,33,4.01,1,1,Pellet,Left,16,5,15,0,1.51,20,nan
3/6/2025 17:53:07,1.17.0,FR1,33,4.00,nan,1,Left,Left,17,5,15,0,nan,nan,0.06
3/6/2025 17:53:09,1.17.0,FR1,33,4.00,1,1,Pellet,Left,17,5,16,0,1.76,16,nan
3/6/2025 17:53:28,1.17.0,FR1,33,4.00,nan,1,Left,Left,18,5,16,0,nan,nan,0.13
3/6/2025 17:53:28,1.17.0,FR1,33,4.00,nan,1,LeftDuringDispense,Left,19,5,16,0,nan,nan,0.05
3/6/2025 17:53:32,1.17.0,FR1,33,4.00,2,1,Pellet,Left,19,5,17,0,1.07,23,nan
3/6/2025 18:00:52,1.17.0,FR1,33,4.00,nan,1,Left,Left,20,5,17,0,nan,nan,0.09
3/6/2025 18:00:55,1.17.0,FR1,33,4.00,1,1,Pellet,Left,20,5,18,0,1.95,443,nan
3/6/2025 18:01:19,1.17.0,FR1,33,4.00,nan,1,Left,Left,21,5,18,0,nan,nan,0.09
3/6/2025 18:01:23,1.17.0,FR1,33,4.01,1,1,Pellet,Left,21,5,19,0,2.65,28,nan
3/6/2025 18:10:06,1.17.0,FR1,33,4.00,nan,1,Right,Left,21,6,19,0,nan,nan,0.08
3/6/2025 18:10:07,1.17.0,FR1,33,4.00,nan,1,Right,Left,21,7,19,0,nan,nan,0.33
3/6/2025 18:10:14,1.17.0,FR1,33,4.00,nan,1,Left,Left,22,7,19,0,nan,nan,0.32
3/6/2025 18:10:19,1.17.0,FR1,33,4.00,1,1,Pellet,Left,22,7,20,0,4.24,536,nan
3/6/2025 18:10:38,1.17.0,FR1,33,4.00,nan,1,Left,Left,23,7,20,0,nan,nan,0.04
3/6/2025 18:10:40,1.17.0,FR1,33,4.00,1,1,Pellet,Left,23,7,21,0,1.26,21,nan
3/6/2025 18:11:12,1.17.0,FR1,33,4.00,nan,1,Left,Left,24,7,21,0,nan,nan,0.96
3/6/2025 18:11:14,1.17.0,FR1,33,4.00,1,1,Pellet,Left,24,7,22,0,1.26,34,nan
3/6/2025 18:15:39,1.17.0,FR1,33,4.00,nan,1,Left,Left,25,7,22,0,nan,nan,0.39
3/6/2025 18:17:05,1.17.0,FR1,33,4.01,nan,1,RightWithPellet,Left,25,8,22,0,nan,nan,0.21
3/6/2025 18:27:10,1.17.0,FR1,33,4.00,1,1,Pellet,Left,25,8,23,0,Timed_out,956,nan
3/6/2025 18:30:04,1.17.0,FR1,33,4.00,nan,1,Right,Left,25,9,23,0,nan,nan,0.19
3/6/2025 18:34:57,1.17.0,FR1,33,4.00,nan,1,Left,Left,26,9,23,0,nan,nan,0.02
3/6/2025 18:34:59,1.17.0,FR1,33,4.00,1,1,Pellet,Left,26,9,24,0,0.88,469,nan
3/6/2025 18:35:22,1.17.0,FR1,33,4.01,nan,1,Left,Left,27,9,24,0,nan,nan,0.08
3/6/2025 18:35:23,1.17.0,FR1,33,4.00,1,1,Pellet,Left,27,9,25,0,0.69,24,nan
3/6/2025 18:35:55,1.17.0,FR1,33,4.00,nan,1,Left,Left,28,9,25,0,nan,nan,0.05
3/6/2025 18:35:56,1.17.0,FR1,33,4.01,1,1,Pellet,Left,28,9,26,0,0.63,33,nan
3/6/2025 18:36:16,1.17.0,FR1,33,4.00,nan,1,Left,Left,29,9,26,0,nan,nan,0.09
3/6/2025 18:36:17,1.17.0,FR1,33,4.00,1,1,Pellet,Left,29,9,27,0,0.44,21,nan
3/6/2025 18:40:00,1.17.0,FR1,33,4.00,nan,1,Left,Left,30,9,27,0,nan,nan,0.39
3/6/2025 18:47:05,1.17.0,FR1,33,4.00,nan,1,LeftWithPellet,Left,31,9,27,0,nan,nan,0.18
3/6/2025 18:48:19,1.17.0,FR1,33,4.00,1,1,Pellet,Left,31,9,28,0,Timed_out,722,nan
3/6/2025 18:48:44,1.17.0,FR1,33,4.00,nan,1,Left,Left,32,9,28,0,nan,nan,0.09
3/6/2025 18:48:47,1.17.0,FR1,33,4.00,1,1,Pellet,Left,32,9,29,0,1.70,28,nan
3/6/2025 18:49:51,1.17.0,FR1,33,4.00,nan,1,Left,Left,33,9,29,0,nan,nan,0.43
3/6/2025 18:49:52,1.17.0,FR1,33,4.00,1,1,Pellet,Left,33,9,30,0,0.82,65,nan
3/6/2025 18:50:55,1.17.0,FR1,33,4.00,nan,1,Left,Left,34,9,30,0,nan,nan,0.37
3/6/2025 18:50:56,1.17.0,FR1,33,4.00,1,1,Pellet,Left,34,9,31,0,0.75,64,nan
3/6/2025 18:51:22,1.17.0,FR1,33,4.00,nan,1,Left,Left,35,9,31,0,nan,nan,0.03
3/6/2025 18:51:24,1.17.0,FR1,33,4.00,1,1,Pellet,Left,35,9,32,0,1.39,28,nan
3/6/2025 19:06:47,1.17.0,FR1,33,4.00,nan,1,Left,Left,36,9,32,0,nan,nan,0.18
3/6/2025 19:06:48,1.17.0,FR1,33,4.00,1,1,Pellet,Left,36,9,33,0,0.82,924,nan
3/6/2025 19:07:18,1.17.0,FR1,33,4.00,nan,1,Right,Left,36,10,33,0,nan,nan,0.25
3/6/2025 19:07:54,1.17.0,FR1,33,4.00,nan,1,Right,Left,36,11,33,0,nan,nan,0.20
3/6/2025 19:08:10,1.17.0,FR1,33,4.01,nan,1,Left,Left,37,11,33,0,nan,nan,0.13
3/6/2025 19:08:11,1.17.0,FR1,33,4.00,1,1,Pellet,Left,37,11,34,0,0.82,83,nan
3/6/2025 19:08:31,1.17.0,FR1,33,4.00,nan,1,Left,Left,38,11,34,0,nan,nan,0.05
3/6/2025 19:08:32,1.17.0,FR1,33,4.00,1,1,Pellet,Left,38,11,35,0,0.88,21,nan
3/6/2025 19:18:05,1.17.0,FR1,33,4.00,nan,1,Right,Left,38,12,35,0,nan,nan,0.01
3/6/2025 19:18:12,1.17.0,FR1,33,4.00,nan,1,Left,Left,39,12,35,0,nan,nan,0.08
3/6/2025 19:18:16,1.17.0,FR1,33,4.00,1,1,Pellet,Left,39,12,36,0,3.29,584,nan
3/6/2025 19:21:18,1.17.0,FR1,33,4.00,nan,1,Right,Left,39,13,36,0,nan,nan,0.06
3/6/2025 19:21:24,1.17.0,FR1,33,4.00,nan,1,Left,Left,40,13,36,0,nan,nan,0.03
3/6/2025 19:21:24,1.17.0,FR1,33,4.00,nan,1,LeftDuringDispense,Left,41,13,36,0,nan,nan,0.01
3/6/2025 19:21:29,1.17.0,FR1,33,4.00,2,1,Pellet,Left,41,13,37,0,2.08,193,nan
3/6/2025 19:21:47,1.17.0,FR1,33,4.00,nan,1,Left,Left,42,13,37,0,nan,nan,0.06
3/6/2025 19:21:48,1.17.0,FR1,33,4.00,1,1,Pellet,Left,42,13,38,0,0.75,19,nan
3/6/2025 19:26:07,1.17.0,FR1,33,4.00,nan,1,Right,Left,42,14,38,0,nan,nan,0.05
3/6/2025 19:26:11,1.17.0,FR1,33,4.00,nan,1,Left,Left,43,14,38,0,nan,nan,0.08
3/6/2025 19:26:13,1.17.0,FR1,33,4.00,1,1,Pellet,Left,43,14,39,0,0.69,265,nan
3/6/2025 19:37:48,1.17.0,FR1,33,4.01,nan,1,Left,Left,44,14,39,0,nan,nan,0.02
3/6/2025 19:37:51,1.17.0,FR1,33,4.00,1,1,Pellet,Left,44,14,40,0,2.08,698,nan
3/6/2025 19:38:08,1.17.0,FR1,33,4.00,nan,1,Left,Left,45,14,40,0,nan,nan,0.01
3/6/2025 19:38:09,1.17.0,FR1,33,4.00,1,1,Pellet,Left,45,14,41,0,0.50,18,nan
3/6/2025 19:38:26,1.17.0,FR1,33,4.00,nan,1,Left,Left,46,14,41,0,nan,nan,0.03
3/6/2025 19:38:27,1.17.0,FR1,33,4.00,1,1,Pellet,Left,46,14,42,0,0.56,18,nan
3/6/2025 19:38:49,1.17.0,FR1,33,4.01,nan,1,Left,Left,47,14,42,0,nan,nan,0.43
3/6/2025 19:38:51,1.17.0,FR1,33,4.01,1,1,Pellet,Left,47,14,43,0,0.63,24,nan
3/6/2025 19:39:10,1.17.0,FR1,33,4.00,nan,1,Left,Left,48,14,43,0,nan,nan,0.40
3/6/2025 19:39:12,1.17.0,FR1,33,4.00,1,1,Pellet,Left,48,14,44,0,0.63,21,nan
3/6/2025 19:39:31,1.17.0,FR1,33,4.00,nan,1,Left,Left,49,14,44,0,nan,nan,0.03
3/6/2025 19:39:32,1.17.0,FR1,33,4.00,1,1,Pellet,Left,49,14,45,0,0.69,20,nan
3/6/2025 19:39:54,1.17.0,FR1,33,4.00,nan,1,Left,Left,50,14,45,0,nan,nan,0.52
