MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/7/2025 12:43:05,1.17.0,Bandit100,4,4.16,nan,20,0,100,Right,Right,0,1,0,0,nan,nan,0.00
7/7/2025 12:48:19,1.17.0,Bandit100,4,4.17,nan,20,0,100,RightWithPellet,Right,0,1,0,0,nan,nan,0.73
7/7/2025 12:51:15,1.17.0,Bandit100,4,4.16,4,20,0,100,Pellet,Right,0,1,1,0,Timed_out,nan,nan
7/7/2025 12:51:36,1.17.0,Bandit100,4,4.17,nan,20,0,100,Right,Right,0,2,1,1,nan,nan,0.77
7/7/2025 12:51:36,1.17.0,Bandit100,4,4.17,nan,20,0,100,RightDuringDispense,Right,0,2,1,1,nan,nan,0.12
7/7/2025 12:51:43,1.17.0,Bandit100,4,4.17,4,20,0,100,Pellet,Right,0,2,2,1,1.57,28,nan
7/7/2025 12:52:50,1.17.0,Bandit100,4,4.17,nan,20,0,100,Right,Right,0,3,2,2,nan,nan,0.10
7/7/2025 12:53:04,1.17.0,Bandit100,4,4.16,2,20,0,100,Pellet,Right,0,3,3,2,13.12,81,nan
7/7/2025 12:53:59,1.17.0,Bandit100,4,4.17,nan,20,0,100,Left,Right,1,3,3,3,nan,nan,1.28
7/7/2025 12:55:01,1.17.0,Bandit100,4,4.16,nan,20,0,100,Right,Right,1,4,3,3,nan,nan,0.06
7/7/2025 12:55:07,1.17.0,Bandit100,4,4.17,1,20,0,100,Pellet,Right,1,4,4,3,5.31,123,nan
7/7/2025 12:55:31,1.17.0,Bandit100,4,4.16,nan,20,0,100,Right,Right,1,5,4,4,nan,nan,0.23
7/7/2025 12:55:34,1.17.0,Bandit100,4,4.17,1,20,0,100,Pellet,Right,1,5,5,4,2.08,27,nan
7/7/2025 12:55:59,1.17.0,Bandit100,4,4.17,nan,20,0,100,Right,Right,1,6,5,5,nan,nan,0.36
7/7/2025 12:56:02,1.17.0,Bandit100,4,4.17,nan,20,0,100,LeftWithPellet,Right,1,6,5,5,nan,nan,0.05
7/7/2025 12:56:09,1.17.0,Bandit100,4,4.17,nan,20,0,100,LeftWithPellet,Right,1,6,5,5,nan,nan,0.22
7/7/2025 12:56:21,1.17.0,Bandit100,4,4.17,1,20,0,100,Pellet,Right,1,6,6,5,21.54,47,nan
7/7/2025 12:57:04,1.17.0,Bandit100,4,4.17,nan,20,0,100,Left,Right,2,6,6,6,nan,nan,0.11
7/7/2025 12:57:26,1.17.0,Bandit100,4,4.17,nan,20,0,100,Right,Right,2,7,6,6,nan,nan,0.16
7/7/2025 12:57:28,1.17.0,Bandit100,4,4.17,1,20,0,100,Pellet,Right,2,7,7,6,1.19,67,nan
7/7/2025 12:57:45,1.17.0,Bandit100,4,4.17,nan,20,0,100,Left,Right,3,7,7,7,nan,nan,0.11
7/7/2025 12:58:40,1.17.0,Bandit100,4,4.16,nan,20,0,100,Left,Right,4,7,7,7,nan,nan,0.11
7/7/2025 12:58:43,1.17.0,Bandit100,4,4.17,nan,20,0,100,LeftinTimeOut,Right,4,7,7,7,nan,nan,nan
7/7/2025 12:58:46,1.17.0,Bandit100,4,4.17,nan,20,0,100,LeftinTimeOut,Right,4,7,7,7,nan,nan,nan
7/7/2025 12:59:41,1.17.0,Bandit100,4,4.16,nan,20,0,100,Left,Right,5,7,7,7,nan,nan,0.10
7/7/2025 13:01:34,1.17.0,Bandit100,4,4.17,nan,20,0,100,Right,Right,5,8,7,7,nan,nan,0.09
7/7/2025 13:02:23,1.17.0,Bandit100,4,4.16,nan,20,0,100,LeftWithPellet,Right,5,8,7,7,nan,nan,0.16
7/7/2025 13:02:25,1.17.0,Bandit100,4,4.16,1,20,0,100,Pellet,Right,5,8,8,7,49.76,296,nan
7/7/2025 13:04:43,1.17.0,Bandit100,4,4.16,nan,20,0,100,Left,Right,6,8,8,8,nan,nan,0.26
7/7/2025 13:04:44,1.17.0,Bandit100,4,4.17,nan,20,0,100,LeftinTimeOut,Right,6,8,8,8,nan,nan,nan
7/7/2025 13:12:06,1.17.0,Bandit100,4,4.17,nan,20,0,100,Left,Right,7,8,8,8,nan,nan,0.20
7/7/2025 13:12:16,1.17.0,Bandit100,4,4.16,nan,20,0,100,RightinTimeout,Right,7,8,8,8,nan,nan,0.00
7/7/2025 13:12:48,1.17.0,Bandit100,4,4.17,nan,20,0,100,Left,Right,8,8,8,8,nan,nan,0.20
7/7/2025 13:12:48,1.17.0,Bandit100,4,4.17,nan,20,0,100,LeftinTimeOut,Right,8,8,8,8,nan,nan,nan
7/7/2025 13:13:12,1.17.0,Bandit100,4,4.17,nan,20,0,100,Right,Right,8,9,8,8,nan,nan,0.33
7/7/2025 13:13:34,1.17.0,Bandit100,4,4.16,1,20,0,100,Pellet,Right,8,9,9,8,20.68,670,nan
7/7/2025 13:14:37,1.17.0,Bandit100,4,4.16,nan,20,0,100,Left,Right,9,9,9,9,nan,nan,1.22
7/7/2025 13:16:56,1.17.0,Bandit100,4,4.16,nan,20,0,100,Right,Right,9,10,9,9,nan,nan,0.47
7/7/2025 13:17:08,1.17.0,Bandit100,4,4.16,1,20,0,100,Pellet,Right,9,10,10,9,11.21,214,nan
7/7/2025 13:22:38,1.17.0,Bandit100,4,4.16,nan,20,0,100,Right,Right,9,11,10,10,nan,nan,0.21
7/7/2025 13:22:50,1.17.0,Bandit100,4,4.16,1,20,0,100,Pellet,Right,9,11,11,10,11.28,342,nan
7/7/2025 13:23:08,1.17.0,Bandit100,4,4.16,nan,20,0,100,Left,Right,10,11,11,11,nan,nan,0.29
7/7/2025 13:23:26,1.17.0,Bandit100,4,4.17,nan,20,0,100,Left,Right,11,11,11,11,nan,nan,0.07
7/7/2025 13:23:49,1.17.0,Bandit100,4,4.16,nan,20,0,100,Right,Right,11,12,11,11,nan,nan,0.14
7/7/2025 13:24:10,1.17.0,Bandit100,4,4.17,1,20,0,100,Pellet,Right,11,12,12,11,20.94,80,nan
7/7/2025 13:24:47,1.17.0,Bandit100,4,4.16,nan,20,0,100,Right,Right,11,13,12,12,nan,nan,0.00
7/7/2025 13:24:48,1.17.0,Bandit100,4,4.16,nan,20,0,100,RightDuringDispense,Right,11,13,12,12,nan,nan,0.69
7/7/2025 13:24:52,1.17.0,Bandit100,4,4.16,2,20,0,100,Pellet,Right,11,13,13,12,1.32,42,nan
7/7/2025 13:25:29,1.17.0,Bandit100,4,4.16,nan,20,0,100,Right,Right,11,14,13,13,nan,nan,0.13
7/7/2025 13:25:31,1.17.0,Bandit100,4,4.16,1,20,0,100,Pellet,Right,11,14,14,13,0.94,39,nan
7/7/2025 13:26:00,1.17.0,Bandit100,4,4.16,nan,20,0,100,Left,Right,12,14,14,14,nan,nan,0.16
