MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/28/2025 12:22:29,1.17.0,Bandit100,19,3.82,nan,20,0,100,Right,Right,0,1,0,0,nan,nan,0.39
4/28/2025 12:26:07,1.17.0,Bandit100,19,3.83,nan,20,0,100,LeftWithPellet,Right,0,1,0,0,nan,nan,0.45
4/28/2025 12:26:09,1.17.0,Bandit100,19,3.83,nan,20,0,100,LeftWithPellet,Right,0,1,0,0,nan,nan,0.12
4/28/2025 12:28:00,1.17.0,Bandit100,19,3.82,nan,20,0,100,RightWithPellet,Right,0,1,0,0,nan,nan,0.78
4/28/2025 12:28:01,1.17.0,Bandit100,19,3.82,nan,20,0,100,RightWithPellet,Right,0,1,0,0,nan,nan,0.23
4/28/2025 12:30:55,1.17.0,Bandit100,19,3.82,nan,20,0,100,RightWithPellet,Right,0,1,0,0,nan,nan,0.20
4/28/2025 12:30:58,1.17.0,Bandit100,19,3.83,1,20,0,100,Pellet,Right,0,1,1,0,Timed_out,nan,nan
4/28/2025 12:32:41,1.17.0,Bandit100,19,3.82,nan,20,0,100,Left,Right,1,1,1,1,nan,nan,0.20
4/28/2025 12:38:20,1.17.0,Bandit100,19,3.82,nan,20,0,100,Left,Right,2,1,1,1,nan,nan,0.13
4/28/2025 12:38:23,1.17.0,Bandit100,19,3.83,nan,20,0,100,LeftinTimeOut,Right,2,1,1,1,nan,nan,nan
4/28/2025 12:45:13,1.17.0,Bandit100,19,3.82,nan,20,0,100,Right,Right,2,2,1,1,nan,nan,0.44
4/28/2025 15:04:17,1.17.0,Bandit100,19,3.82,2,20,0,100,Pellet,Right,2,2,2,1,Timed_out,9199,nan
4/28/2025 15:04:48,1.17.0,Bandit100,19,3.82,nan,20,0,100,Right,Right,2,3,2,2,nan,nan,0.00
4/28/2025 15:04:49,1.17.0,Bandit100,19,3.82,1,20,0,100,Pellet,Right,2,3,3,2,0.50,32,nan
4/28/2025 15:05:13,1.17.0,Bandit100,19,3.82,nan,20,0,100,Right,Right,2,4,3,3,nan,nan,0.11
4/28/2025 15:05:14,1.17.0,Bandit100,19,3.82,1,20,0,100,Pellet,Right,2,4,4,3,0.44,25,nan
4/28/2025 15:05:31,1.17.0,Bandit100,19,3.82,nan,20,0,100,Right,Right,2,5,4,4,nan,nan,0.05
4/28/2025 15:05:31,1.17.0,Bandit100,19,3.82,nan,20,0,100,RightDuringDispense,Right,2,5,4,4,nan,nan,0.07
4/28/2025 15:05:34,1.17.0,Bandit100,19,3.82,2,20,0,100,Pellet,Right,2,5,5,4,0.31,20,nan
4/28/2025 15:05:56,1.17.0,Bandit100,19,3.82,nan,20,0,100,Right,Right,2,6,5,5,nan,nan,0.20
4/28/2025 15:05:57,1.17.0,Bandit100,19,3.82,1,20,0,100,Pellet,Right,2,6,6,5,0.37,23,nan
4/28/2025 15:06:18,1.17.0,Bandit100,19,3.82,nan,20,0,100,Right,Right,2,7,6,6,nan,nan,0.17
4/28/2025 15:06:20,1.17.0,Bandit100,19,3.82,1,20,0,100,Pellet,Right,2,7,7,6,0.56,23,nan
4/28/2025 15:06:39,1.17.0,Bandit100,19,3.81,nan,20,0,100,Left,Right,3,7,7,7,nan,nan,0.14
