MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/3/2025 15:18:18,1.17.0,Bandit100,32,4.2,,20,0,100,Right,Right,0,1,0,0,,,0.38
3/3/2025 15:53:10,1.17.0,Bandit100,32,4.19,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.02
3/3/2025 15:57:45,1.17.0,Bandit100,32,4.19,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.34
3/3/2025 16:05:49,1.17.0,Bandit100,32,4.19,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.31
3/3/2025 16:06:16,1.17.0,Bandit100,32,4.19,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.01
3/3/2025 16:06:18,1.17.0,Bandit100,32,4.19,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.57
3/3/2025 16:54:12,1.17.0,Bandit100,32,4.18,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.05
3/3/2025 17:30:39,1.17.0,Bandit100,32,4.18,,20,0,100,RightWithPellet,Right,0,1,0,0,,,0.29
3/3/2025 19:01:13,1.17.0,Bandit100,32,4.18,,20,0,100,LeftWithPellet,Right,0,1,0,0,,,0.68
3/3/2025 19:02:55,1.17.0,Bandit100,32,4.18,3.0,20,0,100,Pellet,Right,0,1,1,0,Timed_out,,
3/3/2025 19:04:09,1.17.0,Bandit100,32,4.18,,20,0,100,Left,Right,1,1,1,1,,,0.55
3/3/2025 19:05:39,1.17.0,Bandit100,32,4.18,,20,0,100,Left,Right,2,1,1,1,,,0.06
3/3/2025 19:05:46,1.17.0,Bandit100,32,4.18,,20,0,100,RightinTimeout,Right,2,1,1,1,,,0.0
3/3/2025 19:05:46,1.17.0,Bandit100,32,4.18,,20,0,100,RightinTimeout,Right,2,1,1,1,,,0.0
3/3/2025 19:05:47,1.17.0,Bandit100,32,4.18,,20,0,100,RightinTimeout,Right,2,1,1,1,,,0.0
3/3/2025 19:05:47,1.17.0,Bandit100,32,4.18,,20,0,100,RightinTimeout,Right,2,1,1,1,,,0.0
3/3/2025 19:05:48,1.17.0,Bandit100,32,4.18,,20,0,100,RightinTimeout,Right,2,1,1,1,,,0.0
3/3/2025 19:05:48,1.17.0,Bandit100,32,4.18,,20,0,100,RightinTimeout,Right,2,1,1,1,,,0.0
3/3/2025 19:05:49,1.17.0,Bandit100,32,4.18,,20,0,100,RightinTimeout,Right,2,1,1,1,,,0.0
3/3/2025 19:05:49,1.17.0,Bandit100,32,4.18,,20,0,100,RightinTimeout,Right,2,1,1,1,,,0.0
3/3/2025 19:05:50,1.17.0,Bandit100,32,4.18,,20,0,100,RightinTimeout,Right,2,1,1,1,,,0.0
3/3/2025 19:05:59,1.17.0,Bandit100,32,4.18,,20,0,100,LeftinTimeOut,Right,2,1,1,1,,,
3/3/2025 19:06:19,1.17.0,Bandit100,32,4.18,,20,0,100,Right,Right,2,2,1,1,,,1.35
3/3/2025 19:06:20,1.17.0,Bandit100,32,4.18,,20,0,100,RightDuringDispense,Right,2,2,1,1,,,0.81
