MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/18/2024 12:45:40,1.17.0,Bandit,0,4.15,,1,Left,Left,1,0,0,0,,,0.45
3/18/2024 12:56:26,1.17.0,Bandit,0,4.15,,1,RightWithPellet,Left,1,0,0,0,,,0.36
3/18/2024 13:00:47,1.17.0,Bandit,0,4.15,,1,LeftWithPellet,Left,1,0,0,0,,,0.42
3/18/2024 13:04:58,1.17.0,Bandit,0,4.15,,1,RightWithPellet,Left,1,0,0,0,,,0.34
3/18/2024 13:05:19,1.17.0,Bandit,0,4.15,,1,LeftWithPellet,Left,1,0,0,0,,,0.03
3/18/2024 13:12:15,1.17.0,Bandit,0,4.15,,1,LeftWithPellet,Left,1,0,0,0,,,0.43
3/18/2024 13:12:17,1.17.0,Bandit,0,4.14,,1,LeftWithPellet,Left,1,0,0,0,,,0.2
3/18/2024 13:15:30,1.17.0,Bandit,0,4.15,,1,LeftWithPellet,Left,1,0,0,0,,,0.01
3/18/2024 13:18:36,1.17.0,Bandit,0,4.15,,1,RightWithPellet,Left,1,0,0,0,,,0.05
3/18/2024 13:20:41,1.17.0,Bandit,0,4.15,3.0,1,Pellet,Left,1,0,1,0,Timed_out,,
3/18/2024 13:21:41,1.17.0,Bandit,0,4.15,,1,Left,Left,2,0,1,1,,,0.03
3/18/2024 13:23:42,1.17.0,Bandit,0,4.15,,1,RightWithPellet,Left,2,0,1,1,,,0.5
3/18/2024 13:24:25,1.17.0,Bandit,0,4.15,,1,LeftWithPellet,Left,2,0,1,1,,,0.71
3/18/2024 13:31:40,1.17.0,Bandit,0,4.15,,1,LeftWithPellet,Left,2,0,1,1,,,0.68
3/18/2024 13:33:17,1.17.0,Bandit,0,4.14,,1,RightWithPellet,Left,2,0,1,1,,,0.36
3/18/2024 13:36:54,1.17.0,Bandit,0,4.14,1.0,1,Pellet,Left,2,0,2,1,Timed_out,973.0,
3/18/2024 13:37:14,1.17.0,Bandit,0,4.15,,1,Left,Left,3,0,2,2,,,0.72
3/18/2024 13:49:38,1.17.0,Bandit,0,4.14,,1,LeftWithPellet,Left,3,0,2,2,,,0.07
3/18/2024 13:59:46,1.17.0,Bandit,0,4.14,1.0,1,Pellet,Left,3,0,3,2,Timed_out,1372.0,
3/18/2024 14:14:06,1.17.0,Bandit,0,4.14,,1,Left,Left,4,0,3,3,,,0.26
3/18/2024 14:25:58,1.17.0,Bandit,0,4.14,1.0,1,Pellet,Left,4,0,4,3,Timed_out,1572.0,
3/18/2024 14:32:05,1.17.0,Bandit,0,4.14,,1,Left,Left,5,0,4,4,,,0.0
3/18/2024 14:33:43,1.17.0,Bandit,0,4.14,1.0,1,Pellet,Left,5,0,5,4,Timed_out,465.0,
3/18/2024 14:51:10,1.17.0,Bandit,0,4.14,,1,Right,Left,5,1,5,5,,,0.02
3/18/2024 16:17:43,1.17.0,Bandit,0,4.14,,1,Right,Left,5,2,5,5,,,0.59
3/18/2024 16:25:07,1.17.0,Bandit,0,4.14,,1,Right,Left,5,3,5,5,,,0.02
3/18/2024 16:34:42,1.17.0,Bandit,0,4.14,1.0,1,Pellet,Left,6,3,6,5,26.08,7259.0,
3/18/2024 16:50:49,1.17.0,Bandit,0,4.14,,1,Left,Left,7,3,6,6,,,0.0
3/18/2024 16:51:29,1.17.0,Bandit,0,4.14,1.0,1,Pellet,Left,7,3,7,6,35.89,1007.0,
3/18/2024 16:54:35,1.17.0,Bandit,0,4.14,,1,Right,Left,7,4,7,7,,,0.04
3/18/2024 17:47:31,1.17.0,Bandit,0,4.13,,1,Right,Left,7,5,7,7,,,0.06
3/18/2024 17:57:03,1.17.0,Bandit,0,4.14,,1,Left,Left,8,5,7,7,,,0.57
3/18/2024 17:58:25,1.17.0,Bandit,0,4.13,1.0,1,Pellet,Left,8,5,8,7,Timed_out,4016.0,
3/18/2024 18:11:30,1.17.0,Bandit,0,4.13,,1,Right,Left,8,6,8,8,,,0.04
3/18/2024 18:14:33,1.17.0,Bandit,0,4.14,,1,Left,Left,9,6,8,8,,,0.47
3/18/2024 18:14:45,1.17.0,Bandit,0,4.14,1.0,1,Pellet,Left,9,6,9,8,8.62,980.0,
3/18/2024 18:16:06,1.17.0,Bandit,0,4.14,,1,Right,Left,9,7,9,9,,,0.23
3/18/2024 18:22:05,1.17.0,Bandit,0,4.14,,1,Right,Left,9,8,9,9,,,0.06
3/18/2024 18:23:41,1.17.0,Bandit,0,4.13,,1,Left,Left,10,8,9,9,,,0.03
3/18/2024 18:23:50,1.17.0,Bandit,0,4.13,1.0,1,Pellet,Left,10,8,10,9,4.94,545.0,
3/18/2024 18:25:43,1.17.0,Bandit,0,4.14,,1,Right,Left,10,9,10,10,,,0.23
3/18/2024 18:26:15,1.17.0,Bandit,0,4.14,,1,Right,Left,10,10,10,10,,,0.34
3/18/2024 18:34:46,1.17.0,Bandit,0,4.14,,1,Right,Left,10,11,10,10,,,0.55
3/18/2024 18:40:03,1.17.0,Bandit,0,4.14,,1,Left,Left,11,11,10,10,,,0.18
3/18/2024 18:40:18,1.17.0,Bandit,0,4.13,1.0,1,Pellet,Left,11,11,11,10,11.48,988.0,
3/18/2024 18:41:07,1.17.0,Bandit,0,4.12,,1,Left,Left,12,11,11,11,,,0.0
3/18/2024 18:41:12,1.17.0,Bandit,0,4.14,1.0,1,Pellet,Left,12,11,12,11,2.21,54.0,
3/18/2024 18:41:41,1.17.0,Bandit,0,4.13,,1,Left,Left,13,11,12,12,,,0.07
3/18/2024 18:41:47,1.17.0,Bandit,0,4.12,1.0,1,Pellet,Left,13,11,13,12,3.48,35.0,
3/18/2024 18:49:31,1.17.0,Bandit,0,4.13,,1,Left,Left,14,11,13,13,,,0.68
3/18/2024 18:49:39,1.17.0,Bandit,0,4.13,1.0,1,Pellet,Left,14,11,14,13,4.18,472.0,
3/18/2024 18:49:57,1.17.0,Bandit,0,4.13,,1,Right,Left,14,12,14,14,,,0.35
3/18/2024 19:07:27,1.17.0,Bandit,0,4.13,,1,Right,Left,14,13,14,14,,,0.55
3/18/2024 19:07:42,1.17.0,Bandit,0,4.14,,1,Left,Left,15,13,14,14,,,0.22
3/18/2024 19:08:11,1.17.0,Bandit,0,4.13,2.0,1,Pellet,Left,15,13,15,14,23.78,1112.0,
3/18/2024 19:08:44,1.17.0,Bandit,0,4.14,,1,Right,Left,15,14,15,15,,,0.01
3/18/2024 19:13:09,1.17.0,Bandit,0,4.13,,1,Left,Left,16,14,15,15,,,0.19
3/18/2024 19:13:17,1.17.0,Bandit,0,4.12,2.0,1,Pellet,Left,16,14,16,15,2.46,306.0,
3/18/2024 19:13:45,1.17.0,Bandit,0,4.13,,1,Left,Left,17,14,16,16,,,0.36
3/18/2024 19:13:52,1.17.0,Bandit,0,4.13,1.0,1,Pellet,Left,17,14,17,16,3.92,35.0,
3/18/2024 19:15:43,1.17.0,Bandit,0,4.13,,1,Right,Left,17,15,17,17,,,0.07
3/18/2024 19:19:16,1.17.0,Bandit,0,4.14,,1,Left,Left,18,15,17,17,,,0.03
3/18/2024 19:19:20,1.17.0,Bandit,0,4.13,1.0,1,Pellet,Left,18,15,18,17,1.01,328.0,
3/18/2024 19:19:57,1.17.0,Bandit,0,4.13,,1,Right,Left,18,16,18,18,,,0.02
3/18/2024 19:22:03,1.17.0,Bandit,0,4.13,,1,Right,Left,18,17,18,18,,,0.0
3/18/2024 19:32:09,1.17.0,Bandit,0,4.13,,1,Right,Left,18,18,18,18,,,0.23
3/18/2024 19:32:44,1.17.0,Bandit,0,4.13,,1,Left,Left,19,18,18,18,,,0.02
3/18/2024 19:33:11,1.17.0,Bandit,0,4.13,1.0,1,Pellet,Left,19,18,19,18,23.47,831.0,
3/18/2024 19:33:45,1.17.0,Bandit,0,4.13,,1,Right,Left,19,19,19,19,,,0.03
3/18/2024 19:38:04,1.17.0,Bandit,0,4.13,,1,Right,Left,19,20,19,19,,,0.02
3/18/2024 19:40:47,1.17.0,Bandit,0,4.12,,1,Left,Left,20,20,19,19,,,0.05
3/18/2024 19:41:06,1.17.0,Bandit,0,4.12,1.0,1,Pellet,Left,20,20,20,19,15.69,475.0,
3/18/2024 19:41:26,1.17.0,Bandit,0,4.13,,1,Right,Left,20,21,20,20,,,0.25
3/18/2024 19:44:26,1.17.0,Bandit,0,4.12,,1,Right,Left,20,22,20,20,,,0.17
3/18/2024 19:49:16,1.17.0,Bandit,0,4.13,,1,Left,Left,21,22,20,20,,,0.28
3/18/2024 19:49:29,1.17.0,Bandit,0,4.12,1.0,1,Pellet,Left,21,22,21,20,9.78,503.0,
3/18/2024 20:01:29,1.17.0,Bandit,0,4.12,,1,Left,Left,22,22,21,21,,,0.02
3/18/2024 20:01:45,1.17.0,Bandit,0,4.13,1.0,1,Pellet,Left,22,22,22,21,12.58,736.0,
3/18/2024 20:03:34,1.17.0,Bandit,0,4.13,,1,Right,Left,22,23,22,22,,,0.37
3/18/2024 20:08:33,1.17.0,Bandit,0,4.12,,1,Left,Left,23,23,22,22,,,0.46
3/18/2024 20:08:46,1.17.0,Bandit,0,4.13,2.0,1,Pellet,Left,23,23,23,22,7.81,421.0,
3/18/2024 20:10:15,1.17.0,Bandit,0,4.12,,1,Left,Left,24,23,23,23,,,0.05
3/18/2024 20:10:24,1.17.0,Bandit,0,4.13,1.0,1,Pellet,Left,24,23,24,23,5.96,98.0,
3/18/2024 20:20:06,1.17.0,Bandit,0,4.12,,1,Left,Left,25,23,24,24,,,0.07
3/18/2024 20:20:14,1.17.0,Bandit,0,4.12,1.0,1,Pellet,Left,25,23,25,24,4.82,590.0,
3/18/2024 20:21:05,1.17.0,Bandit,0,4.12,,1,Right,Left,25,24,25,25,,,0.18
3/18/2024 20:21:49,1.17.0,Bandit,0,4.12,,1,Right,Left,25,25,25,25,,,0.02
3/18/2024 20:22:21,1.17.0,Bandit,0,4.12,,1,Left,Left,26,25,25,25,,,0.08
3/18/2024 20:22:28,1.17.0,Bandit,0,4.13,1.0,1,Pellet,Left,26,25,26,25,4.12,134.0,
3/18/2024 20:24:50,1.17.0,Bandit,0,4.12,,1,Left,Left,27,25,26,26,,,0.36
3/18/2024 20:24:55,1.17.0,Bandit,0,4.13,1.0,1,Pellet,Left,27,25,27,26,1.58,147.0,
3/18/2024 20:25:43,1.17.0,Bandit,0,4.12,,1,Right,Left,27,26,27,27,,,0.16
3/18/2024 20:28:50,1.17.0,Bandit,0,4.12,,1,Left,Left,28,26,27,27,,,0.2
3/18/2024 20:28:54,1.17.0,Bandit,0,4.12,1.0,1,Pellet,Left,28,26,28,27,1.58,239.0,
3/18/2024 20:29:22,1.17.0,Bandit,0,4.13,,1,Left,Left,29,26,28,28,,,0.01
3/18/2024 20:29:26,1.17.0,Bandit,0,4.13,1.0,1,Pellet,Left,29,26,29,28,1.01,32.0,
3/18/2024 20:29:49,1.17.0,Bandit,0,4.12,,1,Left,Left,30,26,29,29,,,0.19
3/18/2024 20:29:53,1.17.0,Bandit,0,4.13,1.0,1,Pellet,Left,30,26,30,29,1.26,27.0,
3/18/2024 20:30:14,1.17.0,Bandit,0,4.12,,1,Left,Left,31,26,30,0,,,0.14
3/18/2024 20:30:25,1.17.0,Bandit,0,4.12,,1,Left,Left,32,26,30,0,,,0.04
3/18/2024 20:30:40,1.17.0,Bandit,0,4.12,,1,Left,Left,33,26,30,0,,,0.37
3/18/2024 20:30:44,1.17.0,Bandit,0,4.13,,1,LeftinTimeOut,Left,33,26,30,0,,,
3/18/2024 20:30:46,1.17.0,Bandit,0,4.13,,1,LeftinTimeOut,Left,33,26,30,0,,,
3/18/2024 20:30:54,1.17.0,Bandit,0,4.12,,1,LeftinTimeOut,Left,33,26,30,0,,,
