MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/15/2024 12:36:49,1.17.0,Bandit,0,4.18,,30,100,0,Left,Left,1,0,0,0,,,0.65
4/15/2024 12:56:13,1.17.0,Bandit,0,4.19,,30,100,0,RightWithPellet,Left,1,0,0,0,,,0.19
4/15/2024 13:00:01,1.17.0,Bandit,0,4.18,,30,100,0,LeftWithPellet,Left,1,0,0,0,,,0.24
4/15/2024 13:11:40,1.17.0,Bandit,0,4.18,3.0,30,100,0,Pellet,Left,1,0,1,0,Timed_out,,
4/15/2024 13:12:14,1.17.0,Bandit,0,4.18,,30,100,0,Left,Left,2,0,1,1,,,0.01
4/15/2024 13:13:02,1.17.0,Bandit,0,4.18,,30,100,0,LeftWithPellet,Left,2,0,1,1,,,0.33
4/15/2024 13:14:54,1.17.0,Bandit,0,4.18,,30,100,0,RightWithPellet,Left,2,0,1,1,,,0.65
4/15/2024 13:20:17,1.17.0,Bandit,0,4.18,1.0,30,100,0,Pellet,Left,2,0,2,1,Timed_out,517.0,
4/15/2024 13:30:32,1.17.0,Bandit,0,4.18,,30,100,0,Left,Left,3,0,2,2,,,0.03
4/15/2024 13:44:26,1.17.0,Bandit,0,4.18,,30,100,0,LeftWithPellet,Left,3,0,2,2,,,0.51
4/15/2024 13:45:10,1.17.0,Bandit,0,4.18,,30,100,0,RightWithPellet,Left,3,0,2,2,,,0.67
4/15/2024 13:45:13,1.17.0,Bandit,0,4.18,,30,100,0,RightWithPellet,Left,3,0,2,2,,,0.29
4/15/2024 13:50:20,1.17.0,Bandit,0,4.18,,30,100,0,RightWithPellet,Left,3,0,2,2,,,0.51
4/15/2024 14:18:07,1.17.0,Bandit,0,4.18,,30,100,0,LeftWithPellet,Left,3,0,2,2,,,0.41
4/15/2024 14:18:16,1.17.0,Bandit,0,4.18,,30,100,0,LeftWithPellet,Left,3,0,2,2,,,0.25
4/15/2024 14:18:30,1.17.0,Bandit,0,4.18,,30,100,0,RightWithPellet,Left,3,0,2,2,,,0.17
4/15/2024 15:04:45,1.17.0,Bandit,0,4.18,,30,100,0,LeftWithPellet,Left,3,0,2,2,,,0.18
4/15/2024 15:07:25,1.17.0,Bandit,0,4.18,,30,100,0,LeftWithPellet,Left,3,0,2,2,,,0.25
4/15/2024 15:07:43,1.17.0,Bandit,0,4.18,,30,100,0,LeftWithPellet,Left,3,0,2,2,,,0.15
4/15/2024 15:18:29,1.17.0,Bandit,0,4.18,,30,100,0,LeftWithPellet,Left,3,0,2,2,,,0.17
4/15/2024 15:18:42,1.17.0,Bandit,0,4.18,,30,100,0,RightWithPellet,Left,3,0,2,2,,,0.96
4/15/2024 15:44:07,1.17.0,Bandit,0,4.18,,30,100,0,RightWithPellet,Left,3,0,2,2,,,0.66
4/15/2024 15:44:11,1.17.0,Bandit,0,4.18,2.0,30,100,0,Pellet,Left,3,0,3,2,Timed_out,8634.0,
4/15/2024 17:06:41,1.17.0,Bandit,0,4.17,,30,100,0,Right,Left,3,1,3,3,,,0.26
4/15/2024 17:07:39,1.17.0,Bandit,0,4.18,,30,100,0,Right,Left,3,2,3,3,,,0.33
4/15/2024 17:08:47,1.17.0,Bandit,0,4.18,,30,100,0,Left,Left,4,2,3,3,,,0.3
4/15/2024 17:10:03,1.17.0,Bandit,0,4.18,2.0,30,100,0,Pellet,Left,4,2,4,3,Timed_out,5152.0,
4/15/2024 17:14:15,1.17.0,Bandit,0,4.18,,30,100,0,Right,Left,4,3,4,4,,,0.14
4/15/2024 17:23:28,1.17.0,Bandit,0,4.17,,30,100,0,Left,Left,5,3,4,4,,,0.43
4/15/2024 17:24:43,1.17.0,Bandit,0,4.17,1.0,30,100,0,Pellet,Left,5,3,5,4,Timed_out,880.0,
4/15/2024 17:59:12,1.17.0,Bandit,0,4.17,,30,100,0,Left,Left,6,3,5,5,,,0.08
4/15/2024 18:00:56,1.17.0,Bandit,0,4.17,2.0,30,100,0,Pellet,Left,6,3,6,5,Timed_out,2173.0,
4/15/2024 18:09:36,1.17.0,Bandit,0,4.17,,30,100,0,Right,Left,6,4,6,6,,,0.01
4/15/2024 18:27:54,1.17.0,Bandit,0,4.17,,30,100,0,Right,Left,6,5,6,6,,,0.07
4/15/2024 19:00:33,1.17.0,Bandit,0,4.18,,30,100,0,Left,Left,7,5,6,6,,,0.93
4/15/2024 19:00:50,1.17.0,Bandit,0,4.17,1.0,30,100,0,Pellet,Left,7,5,7,6,13.20,3594.0,
4/15/2024 19:02:55,1.17.0,Bandit,0,4.16,,30,100,0,Left,Left,8,5,7,7,,,0.39
4/15/2024 19:03:15,1.17.0,Bandit,0,4.17,1.0,30,100,0,Pellet,Left,8,5,8,7,16.32,145.0,
4/15/2024 19:12:42,1.17.0,Bandit,0,4.16,,30,100,0,Right,Left,8,6,8,8,,,0.03
4/15/2024 19:13:00,1.17.0,Bandit,0,4.17,,30,100,0,Left,Left,9,6,8,8,,,0.48
4/15/2024 19:13:13,1.17.0,Bandit,0,4.16,1.0,30,100,0,Pellet,Left,9,6,9,8,9.64,598.0,
4/15/2024 19:17:23,1.17.0,Bandit,0,4.16,,30,100,0,Right,Left,9,7,9,9,,,0.37
4/15/2024 19:18:17,1.17.0,Bandit,0,4.16,,30,100,0,Right,Left,9,8,9,9,,,0.56
4/15/2024 19:28:13,1.17.0,Bandit,0,4.16,,30,100,0,Left,Left,10,8,9,9,,,0.16
4/15/2024 19:28:22,1.17.0,Bandit,0,4.16,1.0,30,100,0,Pellet,Left,10,8,10,9,5.83,909.0,
4/15/2024 19:29:12,1.17.0,Bandit,0,4.17,,30,100,0,Right,Left,10,9,10,10,,,0.48
4/15/2024 19:29:26,1.17.0,Bandit,0,4.17,,30,100,0,Right,Left,10,10,10,10,,,0.44
4/15/2024 19:33:56,1.17.0,Bandit,0,4.16,,30,100,0,Left,Left,11,10,10,10,,,0.02
4/15/2024 19:34:05,1.17.0,Bandit,0,4.16,1.0,30,100,0,Pellet,Left,11,10,11,10,5.76,343.0,
4/15/2024 19:37:12,1.17.0,Bandit,0,4.16,,30,100,0,Left,Left,12,10,11,11,,,0.61
4/15/2024 19:37:35,1.17.0,Bandit,0,4.17,1.0,30,100,0,Pellet,Left,12,10,12,11,19.75,210.0,
4/15/2024 19:38:24,1.17.0,Bandit,0,4.16,,30,100,0,Right,Left,12,11,12,12,,,0.0
4/15/2024 19:40:31,1.17.0,Bandit,0,4.17,,30,100,0,Left,Left,13,11,12,12,,,0.05
4/15/2024 19:40:38,1.17.0,Bandit,0,4.16,1.0,30,100,0,Pellet,Left,13,11,13,12,3.16,183.0,
4/15/2024 19:42:03,1.17.0,Bandit,0,4.16,,30,100,0,Left,Left,14,11,13,13,,,0.3
4/15/2024 19:42:10,1.17.0,Bandit,0,4.16,1.0,30,100,0,Pellet,Left,14,11,14,13,3.99,92.0,
4/15/2024 19:43:48,1.17.0,Bandit,0,4.16,,30,100,0,Right,Left,14,12,14,14,,,0.5
4/15/2024 19:47:31,1.17.0,Bandit,0,4.16,,30,100,0,Right,Left,14,13,14,14,,,0.25
4/15/2024 19:47:52,1.17.0,Bandit,0,4.17,,30,100,0,Right,Left,14,14,14,14,,,0.45
4/15/2024 19:48:07,1.17.0,Bandit,0,4.16,,30,100,0,Right,Left,14,15,14,14,,,0.49
4/15/2024 19:48:32,1.17.0,Bandit,0,4.16,,30,100,0,Left,Left,15,15,14,14,,,0.53
4/15/2024 19:48:37,1.17.0,Bandit,0,4.16,1.0,30,100,0,Pellet,Left,15,15,15,14,1.77,387.0,
4/15/2024 19:49:01,1.17.0,Bandit,0,4.16,,30,100,0,Left,Left,16,15,15,15,,,0.11
4/15/2024 19:49:09,1.17.0,Bandit,0,4.16,1.0,30,100,0,Pellet,Left,16,15,16,15,3.86,32.0,
4/15/2024 19:51:19,1.17.0,Bandit,0,4.16,,30,100,0,Left,Left,17,15,16,16,,,0.46
