MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/28/2025 12:21:18,1.17.0,Bandit100,18,3.74,nan,20,0,100,Right,Right,0,1,0,0,nan,nan,0.42
4/28/2025 12:30:00,1.17.0,Bandit100,18,3.74,3,20,0,100,Pellet,Right,0,1,1,0,Timed_out,nan,nan
4/28/2025 12:37:19,1.17.0,Bandit100,18,3.74,nan,20,0,100,Left,Right,1,1,1,1,nan,nan,0.03
4/28/2025 12:37:22,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,1,1,1,1,nan,nan,nan
4/28/2025 12:37:25,1.17.0,Bandit100,18,3.75,nan,20,0,100,LeftinTimeOut,Right,1,1,1,1,nan,nan,nan
4/28/2025 12:37:25,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,1,1,1,1,nan,nan,nan
4/28/2025 12:37:59,1.17.0,Bandit100,18,3.74,nan,20,0,100,Left,Right,2,1,1,1,nan,nan,0.01
4/28/2025 12:38:04,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,2,1,1,1,nan,nan,nan
4/28/2025 13:23:22,1.17.0,Bandit100,18,3.74,nan,20,0,100,Left,Right,3,1,1,1,nan,nan,0.33
4/28/2025 13:40:03,1.17.0,Bandit100,18,3.74,nan,20,0,100,Left,Right,4,1,1,1,nan,nan,0.35
4/28/2025 13:41:18,1.17.0,Bandit100,18,3.75,nan,20,0,100,Left,Right,5,1,1,1,nan,nan,0.02
4/28/2025 13:49:23,1.17.0,Bandit100,18,3.74,nan,20,0,100,Left,Right,6,1,1,1,nan,nan,0.29
4/28/2025 13:49:26,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,6,1,1,1,nan,nan,nan
4/28/2025 13:49:31,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,6,1,1,1,nan,nan,nan
4/28/2025 13:58:54,1.17.0,Bandit100,18,3.74,nan,20,0,100,Left,Right,7,1,1,1,nan,nan,0.96
4/28/2025 13:58:56,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,7,1,1,1,nan,nan,nan
4/28/2025 13:58:56,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,7,1,1,1,nan,nan,nan
4/28/2025 13:59:11,1.17.0,Bandit100,18,3.74,nan,20,0,100,Left,Right,8,1,1,1,nan,nan,2.68
4/28/2025 13:59:18,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,8,1,1,1,nan,nan,nan
4/28/2025 13:59:18,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,8,1,1,1,nan,nan,nan
4/28/2025 14:24:29,1.17.0,Bandit100,18,3.74,nan,20,0,100,Left,Right,9,1,1,1,nan,nan,0.39
4/28/2025 15:29:04,1.17.0,Bandit100,18,3.74,nan,20,0,100,Left,Right,10,1,1,1,nan,nan,0.37
4/28/2025 15:29:07,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,10,1,1,1,nan,nan,nan
4/28/2025 15:29:10,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,10,1,1,1,nan,nan,nan
4/28/2025 15:29:14,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,10,1,1,1,nan,nan,nan
4/28/2025 15:29:36,1.17.0,Bandit100,18,3.74,nan,20,0,100,Left,Right,11,1,1,1,nan,nan,0.00
4/28/2025 15:29:41,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,11,1,1,1,nan,nan,nan
4/28/2025 15:29:42,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,11,1,1,1,nan,nan,nan
4/28/2025 15:30:15,1.17.0,Bandit100,18,3.74,nan,20,0,100,Left,Right,12,1,1,1,nan,nan,2.07
4/28/2025 15:30:16,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,12,1,1,1,nan,nan,nan
4/28/2025 15:33:51,1.17.0,Bandit100,18,3.74,nan,20,0,100,Left,Right,13,1,1,1,nan,nan,75.62
4/28/2025 15:33:52,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,13,1,1,1,nan,nan,nan
4/28/2025 15:33:59,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,13,1,1,1,nan,nan,nan
4/28/2025 15:33:59,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,13,1,1,1,nan,nan,nan
4/28/2025 15:34:00,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,13,1,1,1,nan,nan,nan
4/28/2025 15:34:00,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,13,1,1,1,nan,nan,nan
4/28/2025 15:34:01,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,13,1,1,1,nan,nan,nan
4/28/2025 15:34:01,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,13,1,1,1,nan,nan,nan
4/28/2025 15:34:02,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,13,1,1,1,nan,nan,nan
4/28/2025 15:34:02,1.17.0,Bandit100,18,3.73,nan,20,0,100,LeftinTimeOut,Right,13,1,1,1,nan,nan,nan
4/28/2025 15:34:02,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,13,1,1,1,nan,nan,nan
4/28/2025 15:34:03,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,13,1,1,1,nan,nan,nan
4/28/2025 15:34:07,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,13,1,1,1,nan,nan,nan
4/28/2025 15:42:46,1.17.0,Bandit100,18,3.74,nan,20,0,100,Left,Right,14,1,1,1,nan,nan,0.10
4/28/2025 15:42:47,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,14,1,1,1,nan,nan,nan
4/28/2025 15:42:47,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,14,1,1,1,nan,nan,nan
4/28/2025 15:55:41,1.17.0,Bandit100,18,3.74,nan,20,0,100,Left,Right,15,1,1,1,nan,nan,0.57
4/28/2025 16:03:58,1.17.0,Bandit100,18,3.74,nan,20,0,100,Left,Right,16,1,1,1,nan,nan,0.71
4/28/2025 16:04:00,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,16,1,1,1,nan,nan,nan
4/28/2025 16:04:01,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,16,1,1,1,nan,nan,nan
4/28/2025 16:04:02,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,16,1,1,1,nan,nan,nan
4/28/2025 16:04:09,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,16,1,1,1,nan,nan,nan
4/28/2025 16:04:09,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,16,1,1,1,nan,nan,nan
4/28/2025 16:04:13,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,16,1,1,1,nan,nan,nan
4/28/2025 16:04:16,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,16,1,1,1,nan,nan,nan
4/28/2025 16:04:17,1.17.0,Bandit100,18,3.73,nan,20,0,100,LeftinTimeOut,Right,16,1,1,1,nan,nan,nan
4/28/2025 16:04:19,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,16,1,1,1,nan,nan,nan
4/28/2025 16:04:26,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,16,1,1,1,nan,nan,nan
4/28/2025 16:04:26,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,16,1,1,1,nan,nan,nan
4/28/2025 16:09:33,1.17.0,Bandit100,18,3.74,nan,20,0,100,Left,Right,17,1,1,1,nan,nan,0.03
4/28/2025 16:09:33,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,17,1,1,1,nan,nan,nan
4/28/2025 16:19:48,1.17.0,Bandit100,18,3.74,nan,20,0,100,Left,Right,18,1,1,1,nan,nan,0.13
4/28/2025 16:19:49,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,18,1,1,1,nan,nan,nan
4/28/2025 16:19:52,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,18,1,1,1,nan,nan,nan
4/28/2025 16:19:55,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,18,1,1,1,nan,nan,nan
4/28/2025 16:34:41,1.17.0,Bandit100,18,3.73,nan,20,0,100,Left,Right,19,1,1,1,nan,nan,0.14
4/28/2025 16:34:43,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,19,1,1,1,nan,nan,nan
4/28/2025 16:34:46,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,19,1,1,1,nan,nan,nan
4/28/2025 16:49:22,1.17.0,Bandit100,18,3.73,nan,20,0,100,Left,Right,20,1,1,1,nan,nan,0.31
4/28/2025 16:49:24,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,20,1,1,1,nan,nan,nan
4/28/2025 16:49:25,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,20,1,1,1,nan,nan,nan
4/28/2025 16:49:26,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,20,1,1,1,nan,nan,nan
4/28/2025 16:49:28,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,20,1,1,1,nan,nan,nan
4/28/2025 16:49:31,1.17.0,Bandit100,18,3.74,nan,20,0,100,LeftinTimeOut,Right,20,1,1,1,nan,nan,nan
