MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/3/2025 14:46:57,1.17.0,Bandit100,18,4.18,,20,0,100,Right,Right,0,1,0,0,,,0.52
3/3/2025 14:47:41,1.17.0,Bandit100,18,4.18,3.0,20,0,100,Pellet,Right,0,1,1,0,38.76,,
3/3/2025 23:18:02,1.17.0,Bandit100,18,4.16,,20,0,100,Left,Right,1,1,1,1,,,0.45
3/3/2025 23:18:38,1.17.0,Bandit100,18,4.16,,20,0,100,Right,Right,1,2,1,1,,,0.2
3/3/2025 23:18:38,1.17.0,Bandit100,18,4.16,,20,0,100,RightDuringDispense,Right,1,2,1,1,,,0.01
3/3/2025 23:18:41,1.17.0,Bandit100,18,4.16,,20,0,100,RightDuringDispense,Right,1,2,1,1,,,0.04
3/3/2025 23:18:55,1.17.0,Bandit100,18,4.16,5.0,20,0,100,Pellet,Right,1,2,2,1,6.96,30675.0,
3/3/2025 23:20:32,1.17.0,Bandit100,18,4.16,,20,0,100,Right,Right,1,3,2,2,,,0.07
3/3/2025 23:20:42,1.17.0,Bandit100,18,4.15,1.0,20,0,100,Pellet,Right,1,3,3,2,9.25,107.0,
3/3/2025 23:21:39,1.17.0,Bandit100,18,4.16,,20,0,100,Right,Right,1,4,3,3,,,0.06
3/3/2025 23:21:45,1.17.0,Bandit100,18,4.16,1.0,20,0,100,Pellet,Right,1,4,4,3,5.89,63.0,
3/3/2025 23:22:40,1.17.0,Bandit100,18,4.16,,20,0,100,Right,Right,1,5,4,4,,,0.24
3/3/2025 23:22:41,1.17.0,Bandit100,18,4.16,1.0,20,0,100,Pellet,Right,1,5,5,4,0.06,56.0,
3/3/2025 23:22:45,1.17.0,Bandit100,18,4.15,,20,0,100,Left,Right,2,5,5,5,,,0.14
3/3/2025 23:23:19,1.17.0,Bandit100,18,4.16,,20,0,100,Right,Right,2,6,5,5,,,0.14
3/3/2025 23:23:35,1.17.0,Bandit100,18,4.16,1.0,20,0,100,Pellet,Right,2,6,6,5,15.17,54.0,
3/3/2025 23:25:09,1.17.0,Bandit100,18,4.16,,20,0,100,Right,Right,2,7,6,6,,,0.08
3/3/2025 23:28:41,1.17.0,Bandit100,18,4.16,1.0,20,0,100,Pellet,Right,2,7,7,6,Timed_out,306.0,
3/3/2025 23:29:22,1.17.0,Bandit100,18,4.16,,20,0,100,Left,Right,3,7,7,7,,,0.09
3/3/2025 23:29:58,1.17.0,Bandit100,18,4.16,,20,0,100,Left,Right,4,7,7,7,,,0.0
3/3/2025 23:31:30,1.17.0,Bandit100,18,4.16,,20,0,100,Right,Right,4,8,7,7,,,0.18
3/3/2025 23:31:43,1.17.0,Bandit100,18,4.15,1.0,20,0,100,Pellet,Right,4,8,8,7,12.74,182.0,
3/3/2025 23:32:50,1.17.0,Bandit100,18,4.15,,20,0,100,Left,Right,5,8,8,8,,,0.05
3/3/2025 23:33:20,1.17.0,Bandit100,18,4.16,,20,0,100,Right,Right,5,9,8,8,,,0.08
3/3/2025 23:33:40,1.17.0,Bandit100,18,4.15,2.0,20,0,100,Pellet,Right,5,9,9,8,17.52,117.0,
3/3/2025 23:34:37,1.17.0,Bandit100,18,4.16,,20,0,100,Left,Right,6,9,9,9,,,0.6
3/3/2025 23:38:41,1.17.0,Bandit100,18,4.16,,20,0,100,Right,Right,6,10,9,9,,,0.13
3/3/2025 23:38:44,1.17.0,Bandit100,18,4.15,,20,0,100,RightWithPellet,Right,6,11,9,9,,,0.09
3/3/2025 23:38:46,1.17.0,Bandit100,18,4.16,1.0,20,0,100,Pellet,Right,6,11,10,9,4.60,306.0,
3/3/2025 23:42:01,1.17.0,Bandit100,18,4.16,,20,0,100,Left,Right,7,11,10,10,,,0.04
3/3/2025 23:42:03,1.17.0,Bandit100,18,4.16,,20,0,100,LeftinTimeOut,Right,7,11,10,10,,,
3/3/2025 23:42:03,1.17.0,Bandit100,18,4.15,,20,0,100,LeftinTimeOut,Right,7,11,10,10,,,
3/3/2025 23:51:17,1.17.0,Bandit100,18,4.16,,20,0,100,Left,Right,8,11,10,10,,,0.2
3/3/2025 23:52:13,1.17.0,Bandit100,18,4.16,,20,0,100,Left,Right,9,11,10,10,,,0.04
3/3/2025 23:53:11,1.17.0,Bandit100,18,4.16,,20,0,100,Right,Right,9,12,10,10,,,0.09
3/3/2025 23:53:19,1.17.0,Bandit100,18,4.16,2.0,20,0,100,Pellet,Right,9,12,11,10,5.25,873.0,
3/3/2025 23:54:15,1.17.0,Bandit100,18,4.15,,20,0,100,Left,Right,10,12,11,11,,,0.06
3/3/2025 23:54:16,1.17.0,Bandit100,18,4.16,,20,0,100,LeftinTimeOut,Right,10,12,11,11,,,
3/3/2025 23:54:21,1.17.0,Bandit100,18,4.16,,20,0,100,RightinTimeout,Right,10,12,11,11,,,0.0
3/3/2025 23:59:30,1.17.0,Bandit100,18,4.15,,20,0,100,Left,Right,11,12,11,11,,,0.12
3/3/2025 23:59:31,1.17.0,Bandit100,18,4.16,,20,0,100,LeftinTimeOut,Right,11,12,11,11,,,
3/3/2025 23:59:31,1.17.0,Bandit100,18,4.16,,20,0,100,LeftinTimeOut,Right,11,12,11,11,,,
3/3/2025 23:59:34,1.17.0,Bandit100,18,4.16,,20,0,100,LeftinTimeOut,Right,11,12,11,11,,,
3/3/2025 23:59:35,1.17.0,Bandit100,18,4.16,,20,0,100,LeftinTimeOut,Right,11,12,11,11,,,
3/3/2025 23:59:35,1.17.0,Bandit100,18,4.15,,20,0,100,LeftinTimeOut,Right,11,12,11,11,,,
3/3/2025 23:59:36,1.17.0,Bandit100,18,4.15,,20,0,100,LeftinTimeOut,Right,11,12,11,11,,,
3/3/2025 23:59:47,1.17.0,Bandit100,18,4.15,,20,0,100,Left,Right,12,12,11,11,,,0.13
3/3/2025 23:59:52,1.17.0,Bandit100,18,4.16,,20,0,100,RightinTimeout,Right,12,12,11,11,,,0.0
3/3/2025 23:59:52,1.17.0,Bandit100,18,4.15,,20,0,100,RightinTimeout,Right,12,12,11,11,,,0.0
3/3/2025 23:59:52,1.17.0,Bandit100,18,4.15,,20,0,100,RightinTimeout,Right,12,12,11,11,,,0.0
3/3/2025 23:59:53,1.17.0,Bandit100,18,4.16,,20,0,100,RightinTimeout,Right,12,12,11,11,,,0.0
3/4/2025 0:02:26,1.17.0,Bandit100,18,4.16,,20,0,100,Right,Right,12,13,11,11,,,0.52
3/4/2025 0:02:30,1.17.0,Bandit100,18,4.15,2.0,20,0,100,Pellet,Right,12,13,12,11,2.53,551.0,
3/4/2025 0:02:59,1.17.0,Bandit100,18,4.16,,20,0,100,Right,Right,12,14,12,12,,,0.35
3/4/2025 0:03:19,1.17.0,Bandit100,18,4.16,1.0,20,0,100,Pellet,Right,12,14,13,12,18.78,49.0,
3/4/2025 0:03:53,1.17.0,Bandit100,18,4.15,,20,0,100,Right,Right,12,15,13,13,,,0.19
3/4/2025 0:03:59,1.17.0,Bandit100,18,4.15,1.0,20,0,100,Pellet,Right,12,15,14,13,4.56,40.0,
3/4/2025 0:04:34,1.17.0,Bandit100,18,4.15,,20,0,100,Right,Right,12,16,14,14,,,0.03
3/4/2025 0:04:37,1.17.0,Bandit100,18,4.15,1.0,20,0,100,Pellet,Right,12,16,15,14,2.40,38.0,
3/4/2025 0:05:21,1.17.0,Bandit100,18,4.15,,20,0,100,Left,Right,13,16,15,15,,,0.34
3/4/2025 0:05:22,1.17.0,Bandit100,18,4.16,,20,0,100,LeftinTimeOut,Right,13,16,15,15,,,
