MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/14/2025 12:23:51,1.17.0,Bandit80,7,4.19,nan,20,20,80,Right,Right,0,1,0,0,nan,nan,0.48
7/14/2025 12:25:50,1.17.0,Bandit80,7,4.18,3,20,20,80,Pellet,Right,0,1,1,0,Timed_out,nan,nan
7/14/2025 12:26:28,1.17.0,Bandit80,7,4.19,nan,20,20,80,Right,Right,0,2,1,1,nan,nan,0.19
7/14/2025 12:26:32,1.17.0,Bandit80,7,4.19,2,20,20,80,Pellet,Right,0,2,2,1,0.50,42,nan
7/14/2025 12:28:00,1.17.0,Bandit80,7,4.18,nan,20,20,80,Left,Right,1,2,2,2,nan,nan,0.21
7/14/2025 12:28:01,1.17.0,Bandit80,7,4.19,nan,20,20,80,LeftinTimeOut,Right,1,2,2,2,nan,nan,nan
7/14/2025 12:29:17,1.17.0,Bandit80,7,4.19,nan,20,20,80,Right,Right,1,3,2,2,nan,nan,0.20
7/14/2025 12:30:30,1.17.0,Bandit80,7,4.18,nan,20,20,80,Left,Right,2,3,2,2,nan,nan,0.01
7/14/2025 12:30:48,1.17.0,Bandit80,7,4.18,nan,20,20,80,Right,Right,2,4,2,2,nan,nan,0.23
7/14/2025 12:30:50,1.17.0,Bandit80,7,4.18,1,20,20,80,Pellet,Right,2,4,3,2,1.32,258,nan
7/14/2025 12:31:06,1.17.0,Bandit80,7,4.18,nan,20,20,80,Right,Right,2,5,3,3,nan,nan,0.12
7/14/2025 12:31:08,1.17.0,Bandit80,7,4.18,1,20,20,80,Pellet,Right,2,5,4,3,0.63,18,nan
7/14/2025 12:31:43,1.17.0,Bandit80,7,4.19,nan,20,20,80,Right,Right,2,6,4,4,nan,nan,0.02
7/14/2025 12:31:44,1.17.0,Bandit80,7,4.19,1,20,20,80,Pellet,Right,2,6,5,4,0.94,36,nan
7/14/2025 12:31:58,1.17.0,Bandit80,7,4.19,nan,20,20,80,Right,Right,2,7,5,5,nan,nan,0.20
7/14/2025 12:31:59,1.17.0,Bandit80,7,4.19,2,20,20,80,Pellet,Right,2,7,6,5,0.63,15,nan
7/14/2025 12:32:16,1.17.0,Bandit80,7,4.18,nan,20,20,80,Right,Right,2,8,6,6,nan,nan,0.02
7/14/2025 12:32:17,1.17.0,Bandit80,7,4.19,1,20,20,80,Pellet,Right,2,8,7,6,0.50,18,nan
7/14/2025 12:32:32,1.17.0,Bandit80,7,4.18,nan,20,20,80,Right,Right,2,9,7,7,nan,nan,0.17
