MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
Bandit80,8,4.16,,20,20,80,Right,Right,0,1,0,0,,,0.47
Bandit80,8,4.16,,20,20,80,RightWithPellet,Right,0,1,0,0,,,0.08
Bandit80,8,4.16,3.0,20,20,80,Pellet,Right,0,1,1,0,Timed_out,,
Bandit80,8,4.16,,20,20,80,Right,Right,0,2,1,1,,,0.11
Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,0,2,2,1,1.86,42.0,
Bandit80,8,4.16,,20,20,80,Right,Right,0,3,2,2,,,0.04
Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,0,3,3,2,0.66,8.0,
Bandit80,8,4.16,,20,20,80,Right,Right,0,4,3,3,,,0.03
Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,0,4,4,3,1.67,10.0,
Bandit80,8,4.16,,20,20,80,Left,Right,1,4,4,4,,,0.01
Bandit80,8,4.16,,20,20,80,RightinTimeout,Right,1,4,4,4,,,0.0
Bandit80,8,4.16,,20,20,80,Left,Right,2,4,4,4,,,0.25
Bandit80,8,4.16,,20,20,80,Right,Right,2,5,4,4,,,0.09
Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,2,5,5,4,2.50,118.0,
Bandit80,8,4.16,,20,20,80,Right,Right,2,6,5,5,,,0.12
Bandit80,8,4.16,,20,20,80,RightDuringDispense,Right,2,6,5,5,,,0.08
Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,2,6,6,5,0.66,14.0,
Bandit80,8,4.16,,20,20,80,Right,Right,2,7,6,6,,,0.21
Bandit80,8,4.16,2.0,20,20,80,Pellet,Right,2,7,7,6,1.92,16.0,
Bandit80,8,4.16,,20,20,80,Right,Right,2,8,7,7,,,0.13
Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,2,8,8,7,1.04,9.0,
Bandit80,8,4.16,,20,20,80,Right,Right,2,9,8,8,,,0.13
Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,2,9,9,8,0.98,15.0,
Bandit80,8,4.16,,20,20,80,Right,Right,2,10,9,9,,,0.02
Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,2,10,10,9,2.05,13.0,
Bandit80,8,4.16,,20,20,80,Right,Right,2,11,10,10,,,0.05
Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,2,11,11,10,0.66,13.0,
Bandit80,8,4.16,,20,20,80,Right,Right,2,12,11,11,,,0.04
Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,2,12,12,11,1.80,11.0,
Bandit80,8,4.16,,20,20,80,Right,Right,2,13,12,12,,,0.18
Bandit80,8,4.16,1.0,20,20,80,Pellet,Right,2,13,13,12,0.66,16.0,
Bandit80,8,4.16,,20,20,80,Left,Right,3,13,13,13,,,0.16
