mm:dd:yyyy hh:mm:ss,library_version,session_type,device_number,battery_voltage,motor_turns,pelletstoswitch,prob_left,prob_right,event,high_prob_poke,left_poke_count,right_poke_count,pellet_count,block_pellet_count,retrieval_time,interpelletinterval,poke_time
5/5/2025 13:31:35,1.17.0,Bandit80,10,4.14,,20,20,80,Right,Right,0,1,0,0,,,0.17
5/5/2025 13:33:04,1.17.0,Bandit80,10,4.14,,20,20,80,RightWithPellet,Right,0,1,0,0,,,0.48
5/5/2025 13:33:05,1.17.0,Bandit80,10,4.14,2.0,20,20,80,Pellet,Right,0,1,1,0,Timed_out,,
5/5/2025 13:33:24,1.17.0,Bandit80,10,4.14,,20,20,80,Right,Right,0,2,1,1,,,0.18
5/5/2025 13:33:35,1.17.0,Bandit80,10,4.14,1.0,20,20,80,Pellet,Right,0,2,2,1,10.13,30.0,
5/5/2025 13:33:37,1.17.0,Bandit80,10,4.14,,20,20,80,Left,Right,1,2,2,2,,,0.04
5/5/2025 13:34:00,1.17.0,Bandit80,10,4.14,,20,20,80,Left,Right,2,2,2,2,,,0.1
5/5/2025 13:34:01,1.17.0,Bandit80,10,4.13,,20,20,80,LeftinTimeOut,Right,2,2,2,2,,,
5/5/2025 13:34:02,1.17.0,Bandit80,10,4.14,,20,20,80,LeftinTimeOut,Right,2,2,2,2,,,
5/5/2025 13:34:27,1.17.0,Bandit80,10,4.14,,20,20,80,Left,Right,3,2,2,2,,,0.01
5/5/2025 13:34:44,1.17.0,Bandit80,10,4.14,,20,20,80,Left,Right,4,2,2,2,,,0.44
5/5/2025 13:34:49,1.17.0,Bandit80,10,4.13,,20,20,80,LeftinTimeOut,Right,4,2,2,2,,,
5/5/2025 13:34:56,1.17.0,Bandit80,10,4.14,,20,20,80,RightinTimeout,Right,4,2,2,2,,,0.0
5/5/2025 13:35:09,1.17.0,Bandit80,10,4.13,,20,20,80,Right,Right,4,3,2,2,,,0.28
5/5/2025 13:35:10,1.17.0,Bandit80,10,4.14,1.0,20,20,80,Pellet,Right,4,3,3,2,0.25,95.0,
5/5/2025 13:36:48,1.17.0,Bandit80,10,4.14,,20,20,80,Left,Right,5,3,3,3,,,0.35
5/5/2025 13:36:50,1.17.0,Bandit80,10,4.14,,20,20,80,LeftinTimeOut,Right,5,3,3,3,,,
5/5/2025 13:36:59,1.17.0,Bandit80,10,4.14,,20,20,80,RightinTimeout,Right,5,3,3,3,,,0.0
5/5/2025 13:37:00,1.17.0,Bandit80,10,4.14,,20,20,80,RightinTimeout,Right,5,3,3,3,,,0.0
5/5/2025 13:37:00,1.17.0,Bandit80,10,4.13,,20,20,80,RightinTimeout,Right,5,3,3,3,,,0.0
5/5/2025 13:37:46,1.17.0,Bandit80,10,4.14,,20,20,80,Left,Right,6,3,3,3,,,0.06
5/5/2025 13:37:48,1.17.0,Bandit80,10,4.14,,20,20,80,LeftinTimeOut,Right,6,3,3,3,,,
5/5/2025 13:37:53,1.17.0,Bandit80,10,4.14,,20,20,80,RightinTimeout,Right,6,3,3,3,,,0.0
5/5/2025 13:37:54,1.17.0,Bandit80,10,4.14,,20,20,80,RightinTimeout,Right,6,3,3,3,,,0.0
5/5/2025 13:38:00,1.17.0,Bandit80,10,4.14,,20,20,80,LeftinTimeOut,Right,6,3,3,3,,,
5/5/2025 13:38:30,1.17.0,Bandit80,10,4.14,,20,20,80,Left,Right,7,3,3,3,,,0.16
5/5/2025 13:38:31,1.17.0,Bandit80,10,4.14,1.0,20,20,80,Pellet,Right,7,3,4,3,0.75,201.0,
5/5/2025 13:38:52,1.17.0,Bandit80,10,4.14,,20,20,80,Left,Right,8,3,4,4,,,0.04
5/5/2025 13:38:54,1.17.0,Bandit80,10,4.14,,20,20,80,LeftinTimeOut,Right,8,3,4,4,,,
5/5/2025 13:40:24,1.17.0,Bandit80,10,4.13,,20,20,80,Right,Right,8,4,4,4,,,0.27
5/5/2025 13:40:26,1.17.0,Bandit80,10,4.14,1.0,20,20,80,Pellet,Right,8,4,5,4,1.26,115.0,
5/5/2025 13:41:55,1.17.0,Bandit80,10,4.14,,20,20,80,Left,Right,9,4,5,5,,,0.01
5/5/2025 13:42:09,1.17.0,Bandit80,10,4.13,1.0,20,20,80,Pellet,Right,9,4,6,5,13.31,103.0,
5/5/2025 13:42:36,1.17.0,Bandit80,10,4.13,,20,20,80,Left,Right,10,4,6,6,,,0.06
5/5/2025 13:43:52,1.17.0,Bandit80,10,4.14,,20,20,80,Left,Right,11,4,6,6,,,0.17
5/5/2025 13:45:57,1.17.0,Bandit80,10,4.14,,20,20,80,Right,Right,11,5,6,6,,,0.37
5/5/2025 13:47:41,1.17.0,Bandit80,10,4.14,,20,20,80,Right,Right,11,6,6,6,,,0.04
5/5/2025 13:47:42,1.17.0,Bandit80,10,4.14,1.0,20,20,80,Pellet,Right,11,6,7,6,0.37,333.0,
5/5/2025 13:48:51,1.17.0,Bandit80,10,4.14,,20,20,80,Left,Right,12,6,7,7,,,0.2
5/5/2025 13:49:44,1.17.0,Bandit80,10,4.14,,20,20,80,Left,Right,13,6,7,7,,,0.14
5/5/2025 13:49:47,1.17.0,Bandit80,10,4.14,2.0,20,20,80,Pellet,Right,13,6,8,7,1.39,125.0,
5/5/2025 13:52:35,1.17.0,Bandit80,10,4.14,,20,20,80,Left,Right,14,6,8,8,,,0.0
5/5/2025 13:53:14,1.17.0,Bandit80,10,4.14,,20,20,80,Left,Right,15,6,8,8,,,0.18
5/5/2025 13:53:29,1.17.0,Bandit80,10,4.14,1.0,20,20,80,Pellet,Right,15,6,9,8,14.27,222.0,
5/5/2025 13:53:48,1.17.0,Bandit80,10,4.14,,20,20,80,Left,Right,16,6,9,9,,,0.28
5/5/2025 13:54:50,1.17.0,Bandit80,10,4.14,,20,20,80,Left,Right,17,6,9,9,,,0.18
5/5/2025 13:59:41,1.17.0,Bandit80,10,4.14,,20,20,80,Left,Right,18,6,9,9,,,0.04
5/5/2025 14:03:52,1.17.0,Bandit80,10,4.13,,20,20,80,Left,Right,19,6,9,9,,,49.61
5/5/2025 14:40:02,1.17.0,Bandit80,10,4.13,,20,20,80,Left,Right,20,6,9,9,,,0.14
5/5/2025 14:40:45,1.17.0,Bandit80,10,4.14,,20,20,80,Left,Right,21,6,9,9,,,0.47
5/5/2025 14:40:49,1.17.0,Bandit80,10,4.14,,20,20,80,LeftinTimeOut,Right,21,6,9,9,,,
5/5/2025 14:40:51,1.17.0,Bandit80,10,4.14,,20,20,80,LeftinTimeOut,Right,21,6,9,9,,,
5/5/2025 14:40:54,1.17.0,Bandit80,10,4.14,,20,20,80,LeftinTimeOut,Right,21,6,9,9,,,
5/5/2025 14:40:55,1.17.0,Bandit80,10,4.13,,20,20,80,LeftinTimeOut,Right,21,6,9,9,,,
5/5/2025 14:40:57,1.17.0,Bandit80,10,4.14,,20,20,80,LeftinTimeOut,Right,21,6,9,9,,,
5/5/2025 14:41:02,1.17.0,Bandit80,10,4.14,,20,20,80,LeftinTimeOut,Right,21,6,9,9,,,
5/5/2025 14:48:34,1.17.0,Bandit80,10,4.13,,20,20,80,Left,Right,22,6,9,9,,,0.2
5/5/2025 14:48:36,1.17.0,Bandit80,10,4.14,,20,20,80,LeftinTimeOut,Right,22,6,9,9,,,
5/5/2025 14:48:39,1.17.0,Bandit80,10,4.13,,20,20,80,LeftinTimeOut,Right,22,6,9,9,,,
5/5/2025 14:48:41,1.17.0,Bandit80,10,4.14,,20,20,80,LeftinTimeOut,Right,22,6,9,9,,,
5/5/2025 14:48:50,1.17.0,Bandit80,10,4.14,,20,20,80,LeftinTimeOut,Right,22,6,9,9,,,
5/5/2025 14:48:50,1.17.0,Bandit80,10,4.14,,20,20,80,LeftinTimeOut,Right,22,6,9,9,,,
5/5/2025 14:48:51,1.17.0,Bandit80,10,4.14,,20,20,80,LeftinTimeOut,Right,22,6,9,9,,,
5/5/2025 15:15:32,1.17.0,Bandit80,10,4.13,,20,20,80,Left,Right,23,6,9,9,,,0.17
5/5/2025 15:15:34,1.17.0,Bandit80,10,4.13,,20,20,80,LeftDuringDispense,Right,23,6,9,9,,,1.15
5/5/2025 15:15:36,1.17.0,Bandit80,10,4.13,,20,20,80,LeftDuringDispense,Right,23,6,9,9,,,1.24
5/5/2025 15:15:38,1.17.0,Bandit80,10,4.14,2.0,20,20,80,Pellet,Right,23,6,10,9,0.37,4929.0,
5/5/2025 15:16:33,1.17.0,Bandit80,10,4.13,,20,20,80,Left,Right,24,6,10,10,,,0.32
5/5/2025 15:16:35,1.17.0,Bandit80,10,4.13,,20,20,80,LeftinTimeOut,Right,24,6,10,10,,,
5/5/2025 15:16:40,1.17.0,Bandit80,10,4.14,,20,20,80,LeftinTimeOut,Right,24,6,10,10,,,
