MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/7/2025 11:54:26,1.17.0,Bandit80,15,4.18,nan,20,20,80,Right,Right,0,1,0,0,nan,nan,0.39
4/7/2025 12:25:17,1.17.0,Bandit80,15,4.17,nan,20,20,80,RightWithPellet,Right,0,1,0,0,nan,nan,0.26
4/7/2025 12:26:13,1.17.0,Bandit80,15,4.18,2,20,20,80,Pellet,Right,0,1,1,0,Timed_out,nan,nan
4/7/2025 12:26:20,1.17.0,Bandit80,15,4.18,nan,20,20,80,Left,Right,1,1,1,1,nan,nan,0.27
4/7/2025 12:26:31,1.17.0,Bandit80,15,4.18,nan,20,20,80,Right,Right,1,2,1,1,nan,nan,0.10
4/7/2025 12:26:34,1.17.0,Bandit80,15,4.18,nan,20,20,80,RightWithPellet,Right,1,3,1,1,nan,nan,0.11
4/7/2025 12:26:51,1.17.0,Bandit80,15,4.17,2,20,20,80,Pellet,Right,1,3,2,1,16.49,38,nan
4/7/2025 12:28:26,1.17.0,Bandit80,15,4.17,nan,20,20,80,Right,Right,1,4,2,2,nan,nan,0.05
4/7/2025 12:28:28,1.17.0,Bandit80,15,4.18,1,20,20,80,Pellet,Right,1,4,3,2,1.07,97,nan
4/7/2025 12:29:32,1.17.0,Bandit80,15,4.18,nan,20,20,80,Right,Right,1,5,3,3,nan,nan,0.02
4/7/2025 12:29:34,1.17.0,Bandit80,15,4.17,1,20,20,80,Pellet,Right,1,5,4,3,1.26,66,nan
4/7/2025 12:30:22,1.17.0,Bandit80,15,4.18,nan,20,20,80,Left,Right,2,5,4,4,nan,nan,0.08
4/7/2025 12:30:29,1.17.0,Bandit80,15,4.17,nan,20,20,80,LeftinTimeOut,Right,2,5,4,4,nan,nan,nan
4/7/2025 12:30:37,1.17.0,Bandit80,15,4.18,nan,20,20,80,LeftinTimeOut,Right,2,5,4,4,nan,nan,nan
4/7/2025 12:31:25,1.17.0,Bandit80,15,4.17,nan,20,20,80,Left,Right,3,5,4,4,nan,nan,0.17
4/7/2025 12:31:31,1.17.0,Bandit80,15,4.17,1,20,20,80,Pellet,Right,3,5,5,4,5.25,117,nan
4/7/2025 12:34:25,1.17.0,Bandit80,15,4.18,nan,20,20,80,Left,Right,4,5,5,5,nan,nan,0.00
4/7/2025 12:34:29,1.17.0,Bandit80,15,4.18,nan,20,20,80,LeftinTimeOut,Right,4,5,5,5,nan,nan,nan
4/7/2025 12:34:30,1.17.0,Bandit80,15,4.18,nan,20,20,80,LeftinTimeOut,Right,4,5,5,5,nan,nan,nan
4/7/2025 12:34:58,1.17.0,Bandit80,15,4.18,nan,20,20,80,Right,Right,4,6,5,5,nan,nan,0.11
4/7/2025 12:34:58,1.17.0,Bandit80,15,4.17,nan,20,20,80,RightDuringDispense,Right,4,6,5,5,nan,nan,0.13
4/7/2025 12:35:04,1.17.0,Bandit80,15,4.17,2,20,20,80,Pellet,Right,4,6,6,5,2.46,213,nan
4/7/2025 12:35:35,1.17.0,Bandit80,15,4.17,nan,20,20,80,Right,Right,4,7,6,6,nan,nan,0.44
4/7/2025 12:36:53,1.17.0,Bandit80,15,4.18,nan,20,20,80,Left,Right,5,7,6,6,nan,nan,0.01
4/7/2025 12:37:01,1.17.0,Bandit80,15,4.17,nan,20,20,80,LeftinTimeOut,Right,5,7,6,6,nan,nan,nan
4/7/2025 12:37:02,1.17.0,Bandit80,15,4.18,nan,20,20,80,LeftinTimeOut,Right,5,7,6,6,nan,nan,nan
4/7/2025 12:37:20,1.17.0,Bandit80,15,4.18,nan,20,20,80,Left,Right,6,7,6,6,nan,nan,0.18
4/7/2025 12:38:42,1.17.0,Bandit80,15,4.18,nan,20,20,80,Left,Right,7,7,6,6,nan,nan,0.05
4/7/2025 12:38:44,1.17.0,Bandit80,15,4.17,1,20,20,80,Pellet,Right,7,7,7,6,1.77,220,nan
4/7/2025 12:39:28,1.17.0,Bandit80,15,4.18,nan,20,20,80,Left,Right,8,7,7,7,nan,nan,0.05
4/7/2025 12:39:29,1.17.0,Bandit80,15,4.18,nan,20,20,80,LeftinTimeOut,Right,8,7,7,7,nan,nan,nan
4/7/2025 12:39:31,1.17.0,Bandit80,15,4.17,nan,20,20,80,RightinTimeout,Right,8,7,7,7,nan,nan,0.00
4/7/2025 12:39:32,1.17.0,Bandit80,15,4.18,nan,20,20,80,RightinTimeout,Right,8,7,7,7,nan,nan,0.00
4/7/2025 12:39:36,1.17.0,Bandit80,15,4.17,nan,20,20,80,LeftinTimeOut,Right,8,7,7,7,nan,nan,nan
4/7/2025 12:39:54,1.17.0,Bandit80,15,4.17,nan,20,20,80,Left,Right,9,7,7,7,nan,nan,0.11
4/7/2025 12:41:30,1.17.0,Bandit80,15,4.18,nan,20,20,80,Right,Right,9,8,7,7,nan,nan,0.54
4/7/2025 12:41:32,1.17.0,Bandit80,15,4.17,1,20,20,80,Pellet,Right,9,8,8,7,0.63,168,nan
4/7/2025 12:43:00,1.17.0,Bandit80,15,4.17,nan,20,20,80,Left,Right,10,8,8,8,nan,nan,0.12
4/7/2025 12:43:02,1.17.0,Bandit80,15,4.17,1,20,20,80,Pellet,Right,10,8,9,8,1.77,90,nan
4/7/2025 12:43:26,1.17.0,Bandit80,15,4.17,nan,20,20,80,Right,Right,10,9,9,9,nan,nan,0.00
4/7/2025 12:43:30,1.17.0,Bandit80,15,4.18,2,20,20,80,Pellet,Right,10,9,10,9,1.13,28,nan
4/7/2025 12:47:44,1.17.0,Bandit80,15,4.17,nan,20,20,80,Left,Right,11,9,10,10,nan,nan,0.27
4/7/2025 12:47:45,1.17.0,Bandit80,15,4.18,nan,20,20,80,LeftinTimeOut,Right,11,9,10,10,nan,nan,nan
4/7/2025 12:47:48,1.17.0,Bandit80,15,4.17,nan,20,20,80,LeftinTimeOut,Right,11,9,10,10,nan,nan,nan
4/7/2025 12:50:41,1.17.0,Bandit80,15,4.18,nan,20,20,80,Right,Right,11,10,10,10,nan,nan,0.19
4/7/2025 12:58:07,1.17.0,Bandit80,15,4.18,nan,20,20,80,Left,Right,12,10,10,10,nan,nan,0.10
4/7/2025 12:58:19,1.17.0,Bandit80,15,4.17,nan,20,20,80,Right,Right,12,11,10,10,nan,nan,0.38
