mm:dd:yyyy hh:mm:ss,library_version,session_type,device_number,battery_voltage,motor_turns,pelletstoswitch,prob_left,prob_right,event,high_prob_poke,left_poke_count,right_poke_count,pellet_count,block_pellet_count,retrieval_time,interpelletinterval,poke_time
5/5/2025 13:48:34,1.17.0,Bandit80,18,4.18,,20,20,80,Right,Right,0,1,0,0,,,0.25
5/5/2025 13:50:00,1.17.0,Bandit80,18,4.18,,20,20,80,RightWithPellet,Right,0,1,0,0,,,0.06
5/5/2025 13:50:02,1.17.0,Bandit80,18,4.18,5.0,20,20,80,Pellet,Right,0,1,1,0,Timed_out,,
5/5/2025 13:50:47,1.17.0,Bandit80,18,4.18,,20,20,80,Right,Right,0,2,1,1,,,0.27
5/5/2025 13:50:49,1.17.0,Bandit80,18,4.18,1.0,20,20,80,Pellet,Right,0,2,2,1,0.75,47.0,
5/5/2025 13:50:59,1.17.0,Bandit80,18,4.18,,20,20,80,Left,Right,1,2,2,2,,,0.15
5/5/2025 13:50:59,1.17.0,Bandit80,18,4.18,,20,20,80,LeftinTimeOut,Right,1,2,2,2,,,
5/5/2025 13:51:00,1.17.0,Bandit80,18,4.18,,20,20,80,LeftinTimeOut,Right,1,2,2,2,,,
5/5/2025 13:51:07,1.17.0,Bandit80,18,4.18,,20,20,80,RightinTimeout,Right,1,2,2,2,,,0.0
5/5/2025 13:51:07,1.17.0,Bandit80,18,4.18,,20,20,80,RightinTimeout,Right,1,2,2,2,,,0.0
5/5/2025 13:51:09,1.17.0,Bandit80,18,4.18,,20,20,80,RightinTimeout,Right,1,2,2,2,,,0.0
5/5/2025 13:52:19,1.17.0,Bandit80,18,4.18,,20,20,80,Left,Right,2,2,2,2,,,0.0
5/5/2025 13:52:20,1.17.0,Bandit80,18,4.18,,20,20,80,LeftinTimeOut,Right,2,2,2,2,,,
5/5/2025 13:52:22,1.17.0,Bandit80,18,4.18,,20,20,80,RightinTimeout,Right,2,2,2,2,,,0.0
5/5/2025 13:52:56,1.17.0,Bandit80,18,4.18,,20,20,80,Left,Right,3,2,2,2,,,0.16
5/5/2025 13:53:06,1.17.0,Bandit80,18,4.18,,20,20,80,RightinTimeout,Right,3,2,2,2,,,0.0
5/5/2025 13:53:06,1.17.0,Bandit80,18,4.18,,20,20,80,RightinTimeout,Right,3,2,2,2,,,0.0
5/5/2025 13:53:14,1.17.0,Bandit80,18,4.18,,20,20,80,RightinTimeout,Right,3,2,2,2,,,0.0
5/5/2025 13:53:15,1.17.0,Bandit80,18,4.18,,20,20,80,RightinTimeout,Right,3,2,2,2,,,0.0
5/5/2025 13:53:15,1.17.0,Bandit80,18,4.18,,20,20,80,RightinTimeout,Right,3,2,2,2,,,0.0
5/5/2025 13:53:15,1.17.0,Bandit80,18,4.18,,20,20,80,RightinTimeout,Right,3,2,2,2,,,0.0
5/5/2025 13:53:43,1.17.0,Bandit80,18,4.18,,20,20,80,Left,Right,4,2,2,2,,,0.3
5/5/2025 13:54:58,1.17.0,Bandit80,18,4.18,,20,20,80,Left,Right,5,2,2,2,,,0.3
5/5/2025 13:55:03,1.17.0,Bandit80,18,4.18,3.0,20,20,80,Pellet,Right,5,2,3,2,0.06,254.0,
5/5/2025 13:55:25,1.17.0,Bandit80,18,4.18,,20,20,80,Left,Right,6,2,3,3,,,0.22
5/5/2025 13:55:25,1.17.0,Bandit80,18,4.18,,20,20,80,LeftinTimeOut,Right,6,2,3,3,,,
5/5/2025 13:55:28,1.17.0,Bandit80,18,4.18,,20,20,80,LeftinTimeOut,Right,6,2,3,3,,,
5/5/2025 13:55:29,1.17.0,Bandit80,18,4.18,,20,20,80,LeftinTimeOut,Right,6,2,3,3,,,
5/5/2025 13:55:35,1.17.0,Bandit80,18,4.18,,20,20,80,LeftinTimeOut,Right,6,2,3,3,,,
5/5/2025 13:55:35,1.17.0,Bandit80,18,4.18,,20,20,80,LeftinTimeOut,Right,6,2,3,3,,,
5/5/2025 13:55:36,1.17.0,Bandit80,18,4.18,,20,20,80,LeftinTimeOut,Right,6,2,3,3,,,
5/5/2025 13:55:38,1.17.0,Bandit80,18,4.18,,20,20,80,LeftinTimeOut,Right,6,2,3,3,,,
5/5/2025 13:55:40,1.17.0,Bandit80,18,4.18,,20,20,80,LeftinTimeOut,Right,6,2,3,3,,,
5/5/2025 13:55:43,1.17.0,Bandit80,18,4.18,,20,20,80,RightinTimeout,Right,6,2,3,3,,,0.0
5/5/2025 13:56:04,1.17.0,Bandit80,18,4.18,,20,20,80,Left,Right,7,2,3,3,,,0.13
5/5/2025 13:56:06,1.17.0,Bandit80,18,4.18,,20,20,80,LeftinTimeOut,Right,7,2,3,3,,,
