MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/10/2025 13:23:29,1.17.0,Bandit80,24,4.14,,20,20,80,Right,Right,0,1,0,0,,,0.28
3/10/2025 13:24:00,1.17.0,Bandit80,24,4.14,,20,20,80,LeftWithPellet,Right,0,1,0,0,,,0.19
3/10/2025 13:24:02,1.17.0,Bandit80,24,4.14,1.0,20,20,80,Pellet,Right,0,1,1,0,31.97,,
3/10/2025 13:25:05,1.17.0,Bandit80,24,4.14,,20,20,80,Left,Right,1,1,1,1,,,0.33
3/10/2025 13:25:37,1.17.0,Bandit80,24,4.14,,20,20,80,Right,Right,1,2,1,1,,,0.07
3/10/2025 13:25:37,1.17.0,Bandit80,24,4.14,,20,20,80,RightDuringDispense,Right,1,2,1,1,,,0.13
3/10/2025 13:25:38,1.17.0,Bandit80,24,4.14,,20,20,80,RightDuringDispense,Right,1,2,1,1,,,0.2
3/10/2025 13:25:41,1.17.0,Bandit80,24,4.14,2.0,20,20,80,Pellet,Right,1,2,2,1,0.63,99.0,
3/10/2025 13:26:22,1.17.0,Bandit80,24,4.14,,20,20,80,Right,Right,1,3,2,2,,,0.42
3/10/2025 13:26:24,1.17.0,Bandit80,24,4.14,1.0,20,20,80,Pellet,Right,1,3,3,2,1.57,43.0,
3/10/2025 13:26:37,1.17.0,Bandit80,24,4.14,,20,20,80,Left,Right,2,3,3,3,,,0.09
3/10/2025 13:26:39,1.17.0,Bandit80,24,4.14,,20,20,80,LeftinTimeOut,Right,2,3,3,3,,,
3/10/2025 13:27:11,1.17.0,Bandit80,24,4.14,,20,20,80,Left,Right,3,3,3,3,,,0.16
3/10/2025 13:27:11,1.17.0,Bandit80,24,4.14,,20,20,80,LeftDuringDispense,Right,3,3,3,3,,,0.02
3/10/2025 13:27:17,1.17.0,Bandit80,24,4.14,2.0,20,20,80,Pellet,Right,3,3,4,3,3.16,53.0,
3/10/2025 13:27:32,1.17.0,Bandit80,24,4.14,,20,20,80,Left,Right,4,3,4,4,,,0.03
3/10/2025 13:27:34,1.17.0,Bandit80,24,4.14,1.0,20,20,80,Pellet,Right,4,3,5,4,0.63,17.0,
3/10/2025 13:28:34,1.17.0,Bandit80,24,4.14,,20,20,80,Left,Right,5,3,5,5,,,0.0
3/10/2025 13:28:37,1.17.0,Bandit80,24,4.14,1.0,20,20,80,Pellet,Right,5,3,6,5,2.08,63.0,
3/10/2025 13:29:49,1.17.0,Bandit80,24,4.14,,20,20,80,Right,Right,5,4,6,6,,,0.45
3/10/2025 13:29:55,1.17.0,Bandit80,24,4.14,,20,20,80,LeftWithPellet,Right,5,4,6,6,,,0.01
3/10/2025 13:29:57,1.17.0,Bandit80,24,4.14,,20,20,80,LeftWithPellet,Right,5,4,6,6,,,0.82
3/10/2025 13:30:12,1.17.0,Bandit80,24,4.14,,20,20,80,RightWithPellet,Right,5,5,6,6,,,0.03
3/10/2025 13:31:24,1.17.0,Bandit80,24,4.14,,20,20,80,LeftWithPellet,Right,5,5,6,6,,,0.15
3/10/2025 13:33:57,1.17.0,Bandit80,24,4.14,,20,20,80,RightWithPellet,Right,5,5,6,6,,,0.41
3/10/2025 13:34:05,1.17.0,Bandit80,24,4.14,,20,20,80,RightWithPellet,Right,5,5,6,6,,,0.21
3/10/2025 13:37:02,1.17.0,Bandit80,24,4.14,1.0,20,20,80,Pellet,Right,5,5,7,6,Timed_out,505.0,
3/10/2025 13:38:27,1.17.0,Bandit80,24,4.14,,20,20,80,Left,Right,6,5,7,7,,,0.04
