MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/10/2025 13:44:54,1.17.0,Bandit80,38,4.16,,20,20,80,Right,Right,0,1,0,0,,,0.39
3/10/2025 13:45:35,1.17.0,Bandit80,38,4.16,,20,20,80,RightWithPellet,Right,0,2,0,0,,,0.17
3/10/2025 13:45:50,1.17.0,Bandit80,38,4.16,,20,20,80,RightWithPellet,Right,0,3,0,0,,,0.1
3/10/2025 13:46:03,1.17.0,Bandit80,38,4.16,,20,20,80,LeftWithPellet,Right,0,3,0,0,,,0.34
3/10/2025 13:46:18,1.17.0,Bandit80,38,4.17,4.0,20,20,80,Pellet,Right,0,3,1,0,Timed_out,,
3/10/2025 13:46:35,1.17.0,Bandit80,38,4.16,,20,20,80,Left,Right,1,3,1,1,,,0.44
3/10/2025 13:46:53,1.17.0,Bandit80,38,4.16,,20,20,80,Left,Right,2,3,1,1,,,0.15
3/10/2025 13:47:15,1.17.0,Bandit80,38,4.16,,20,20,80,Right,Right,2,4,1,1,,,0.0
3/10/2025 13:47:47,1.17.0,Bandit80,38,4.16,,20,20,80,Left,Right,3,4,1,1,,,0.41
3/10/2025 13:47:59,1.17.0,Bandit80,38,4.16,,20,20,80,Left,Right,4,4,1,1,,,0.22
3/10/2025 13:48:01,1.17.0,Bandit80,38,4.16,,20,20,80,LeftinTimeOut,Right,4,4,1,1,,,
3/10/2025 13:48:11,1.17.0,Bandit80,38,4.16,,20,20,80,LeftinTimeOut,Right,4,4,1,1,,,
3/10/2025 13:48:13,1.17.0,Bandit80,38,4.16,,20,20,80,RightinTimeout,Right,4,4,1,1,,,0.0
3/10/2025 13:48:14,1.17.0,Bandit80,38,4.16,,20,20,80,RightinTimeout,Right,4,4,1,1,,,0.0
3/10/2025 13:48:14,1.17.0,Bandit80,38,4.16,,20,20,80,RightinTimeout,Right,4,4,1,1,,,0.0
3/10/2025 13:48:15,1.17.0,Bandit80,38,4.16,,20,20,80,RightinTimeout,Right,4,4,1,1,,,0.0
3/10/2025 13:48:19,1.17.0,Bandit80,38,4.16,,20,20,80,LeftinTimeOut,Right,4,4,1,1,,,
3/10/2025 13:48:21,1.17.0,Bandit80,38,4.16,,20,20,80,LeftinTimeOut,Right,4,4,1,1,,,
3/10/2025 13:48:23,1.17.0,Bandit80,38,4.16,,20,20,80,LeftinTimeOut,Right,4,4,1,1,,,
3/10/2025 13:48:27,1.17.0,Bandit80,38,4.16,,20,20,80,LeftinTimeOut,Right,4,4,1,1,,,
3/10/2025 13:49:19,1.17.0,Bandit80,38,4.16,,20,20,80,Left,Right,5,4,1,1,,,0.0
3/10/2025 13:49:28,1.17.0,Bandit80,38,4.16,,20,20,80,RightinTimeout,Right,5,4,1,1,,,0.0
3/10/2025 13:49:45,1.17.0,Bandit80,38,4.16,,20,20,80,Left,Right,6,4,1,1,,,0.13
3/10/2025 13:49:46,1.17.0,Bandit80,38,4.16,,20,20,80,RightinTimeout,Right,6,4,1,1,,,0.0
3/10/2025 13:50:05,1.17.0,Bandit80,38,4.16,,20,20,80,Right,Right,6,5,1,1,,,0.28
3/10/2025 13:50:09,1.17.0,Bandit80,38,4.16,,20,20,80,LeftinTimeOut,Right,6,5,1,1,,,
3/10/2025 13:50:13,1.17.0,Bandit80,38,4.16,,20,20,80,RightinTimeout,Right,6,5,1,1,,,0.0
3/10/2025 13:50:47,1.17.0,Bandit80,38,4.16,,20,20,80,Right,Right,6,6,1,1,,,0.06
3/10/2025 13:50:49,1.17.0,Bandit80,38,4.16,2.0,20,20,80,Pellet,Right,6,6,2,1,0.63,271.0,
3/10/2025 13:51:07,1.17.0,Bandit80,38,4.16,,20,20,80,Left,Right,7,6,2,2,,,0.1
3/10/2025 13:51:24,1.17.0,Bandit80,38,4.16,,20,20,80,Right,Right,7,7,2,2,,,0.14
3/10/2025 13:51:25,1.17.0,Bandit80,38,4.16,2.0,20,20,80,Pellet,Right,7,7,3,2,0.56,36.0,
3/10/2025 13:51:41,1.17.0,Bandit80,38,4.16,,20,20,80,Right,Right,7,8,3,3,,,0.08
3/10/2025 13:51:44,1.17.0,Bandit80,38,4.16,,20,20,80,LeftinTimeOut,Right,7,8,3,3,,,
3/10/2025 13:52:14,1.17.0,Bandit80,38,4.16,,20,20,80,Right,Right,7,9,3,3,,,0.09
3/10/2025 13:52:18,1.17.0,Bandit80,38,4.16,,20,20,80,LeftinTimeOut,Right,7,9,3,3,,,
3/10/2025 13:52:18,1.17.0,Bandit80,38,4.16,,20,20,80,LeftinTimeOut,Right,7,9,3,3,,,
3/10/2025 13:52:41,1.17.0,Bandit80,38,4.16,,20,20,80,Left,Right,8,9,3,3,,,0.47
3/10/2025 13:52:44,1.17.0,Bandit80,38,4.16,,20,20,80,RightinTimeout,Right,8,9,3,3,,,0.0
3/10/2025 13:52:44,1.17.0,Bandit80,38,4.16,,20,20,80,RightinTimeout,Right,8,9,3,3,,,0.0
3/10/2025 13:52:45,1.17.0,Bandit80,38,4.16,,20,20,80,RightinTimeout,Right,8,9,3,3,,,0.0
3/10/2025 13:52:45,1.17.0,Bandit80,38,4.16,,20,20,80,RightinTimeout,Right,8,9,3,3,,,0.0
3/10/2025 13:52:50,1.17.0,Bandit80,38,4.16,,20,20,80,RightinTimeout,Right,8,9,3,3,,,0.0
3/10/2025 13:52:52,1.17.0,Bandit80,38,4.16,,20,20,80,LeftinTimeOut,Right,8,9,3,3,,,
3/10/2025 13:52:52,1.17.0,Bandit80,38,4.16,,20,20,80,LeftinTimeOut,Right,8,9,3,3,,,
3/10/2025 13:52:54,1.17.0,Bandit80,38,4.16,,20,20,80,LeftinTimeOut,Right,8,9,3,3,,,
3/10/2025 13:53:53,1.17.0,Bandit80,38,4.16,,20,20,80,Right,Right,8,10,3,3,,,0.22
3/10/2025 13:53:54,1.17.0,Bandit80,38,4.16,,20,20,80,RightDuringDispense,Right,8,10,3,3,,,0.13
3/10/2025 13:53:58,1.17.0,Bandit80,38,4.16,2.0,20,20,80,Pellet,Right,8,10,4,3,1.51,153.0,
3/10/2025 13:54:21,1.17.0,Bandit80,38,4.16,,20,20,80,Left,Right,9,10,4,4,,,0.39
3/10/2025 13:54:27,1.17.0,Bandit80,38,4.16,,20,20,80,RightinTimeout,Right,9,10,4,4,,,0.0
3/10/2025 13:54:27,1.17.0,Bandit80,38,4.16,,20,20,80,RightinTimeout,Right,9,10,4,4,,,0.0
3/10/2025 13:54:27,1.17.0,Bandit80,38,4.16,,20,20,80,RightinTimeout,Right,9,10,4,4,,,0.0
3/10/2025 13:54:27,1.17.0,Bandit80,38,4.16,,20,20,80,RightinTimeout,Right,9,10,4,4,,,0.0
3/10/2025 13:54:28,1.17.0,Bandit80,38,4.16,,20,20,80,RightinTimeout,Right,9,10,4,4,,,0.0
3/10/2025 13:54:52,1.17.0,Bandit80,38,4.16,,20,20,80,Right,Right,9,11,4,4,,,0.02
3/10/2025 13:54:54,1.17.0,Bandit80,38,4.16,1.0,20,20,80,Pellet,Right,9,11,5,4,0.88,56.0,
3/10/2025 13:55:15,1.17.0,Bandit80,38,4.16,,20,20,80,Left,Right,10,11,5,5,,,0.22
3/10/2025 13:55:17,1.17.0,Bandit80,38,4.16,,20,20,80,LeftinTimeOut,Right,10,11,5,5,,,
3/10/2025 13:55:18,1.17.0,Bandit80,38,4.16,,20,20,80,LeftinTimeOut,Right,10,11,5,5,,,
3/10/2025 13:55:22,1.17.0,Bandit80,38,4.16,,20,20,80,LeftinTimeOut,Right,10,11,5,5,,,
3/10/2025 13:55:22,1.17.0,Bandit80,38,4.16,,20,20,80,LeftinTimeOut,Right,10,11,5,5,,,
3/10/2025 13:55:24,1.17.0,Bandit80,38,4.16,,20,20,80,LeftinTimeOut,Right,10,11,5,5,,,
3/10/2025 13:55:45,1.17.0,Bandit80,38,4.17,,20,20,80,Left,Right,11,11,5,5,,,0.02
3/10/2025 13:55:51,1.17.0,Bandit80,38,4.16,,20,20,80,LeftinTimeOut,Right,11,11,5,5,,,
3/10/2025 13:56:39,1.17.0,Bandit80,38,4.16,,20,20,80,Left,Right,12,11,5,5,,,0.05
3/10/2025 13:57:19,1.17.0,Bandit80,38,4.16,,20,20,80,Left,Right,13,11,5,5,,,0.16
3/10/2025 13:57:21,1.17.0,Bandit80,38,4.16,,20,20,80,RightinTimeout,Right,13,11,5,5,,,0.0
3/10/2025 13:57:33,1.17.0,Bandit80,38,4.16,,20,20,80,Right,Right,13,12,5,5,,,0.08
3/10/2025 13:57:33,1.17.0,Bandit80,38,4.16,,20,20,80,RightDuringDispense,Right,13,12,5,5,,,0.03
3/10/2025 13:57:37,1.17.0,Bandit80,38,4.16,2.0,20,20,80,Pellet,Right,13,12,6,5,0.75,163.0,
3/10/2025 13:58:07,1.17.0,Bandit80,38,4.16,,20,20,80,Left,Right,14,12,6,6,,,0.45
3/10/2025 13:58:18,1.17.0,Bandit80,38,4.17,,20,20,80,Left,Right,15,12,6,6,,,0.21
3/10/2025 13:58:19,1.17.0,Bandit80,38,4.16,,20,20,80,LeftDuringDispense,Right,15,12,6,6,,,0.17
3/10/2025 13:58:22,1.17.0,Bandit80,38,4.16,2.0,20,20,80,Pellet,Right,15,12,7,6,0.37,45.0,
3/10/2025 13:58:45,1.17.0,Bandit80,38,4.16,,20,20,80,Right,Right,15,13,7,7,,,0.35
3/10/2025 13:58:46,1.17.0,Bandit80,38,4.16,1.0,20,20,80,Pellet,Right,15,13,8,7,0.44,24.0,
3/10/2025 13:59:07,1.17.0,Bandit80,38,4.16,,20,20,80,Left,Right,16,13,8,8,,,0.33
3/10/2025 13:59:10,1.17.0,Bandit80,38,4.16,,20,20,80,LeftinTimeOut,Right,16,13,8,8,,,
3/10/2025 13:59:13,1.17.0,Bandit80,38,4.16,,20,20,80,LeftinTimeOut,Right,16,13,8,8,,,
3/10/2025 13:59:16,1.17.0,Bandit80,38,4.16,,20,20,80,LeftinTimeOut,Right,16,13,8,8,,,
3/10/2025 13:59:19,1.17.0,Bandit80,38,4.16,,20,20,80,RightinTimeout,Right,16,13,8,8,,,0.0
3/10/2025 13:59:20,1.17.0,Bandit80,38,4.16,,20,20,80,RightinTimeout,Right,16,13,8,8,,,0.0
