MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/10/2025 13:13:16,1.17.0,Bandit80,17,4.14,,20,20,80,Right,Right,0,1,0,0,,,0.03
3/10/2025 13:13:25,1.17.0,Bandit80,17,4.14,3.0,20,20,80,Pellet,Right,0,1,1,0,5.50,,
3/10/2025 13:14:57,1.17.0,Bandit80,17,4.13,,20,20,80,Right,Right,0,2,1,1,,,0.02
3/10/2025 13:15:28,1.17.0,Bandit80,17,4.13,,20,20,80,RightWithPellet,Right,0,3,1,1,,,0.14
3/10/2025 13:15:35,1.17.0,Bandit80,17,4.14,,20,20,80,LeftWithPellet,Right,0,3,1,1,,,0.13
3/10/2025 13:15:36,1.17.0,Bandit80,17,4.14,2.0,20,20,80,Pellet,Right,0,3,2,1,38.92,132.0,
3/10/2025 13:16:38,1.17.0,Bandit80,17,4.13,,20,20,80,Left,Right,1,3,2,2,,,0.03
3/10/2025 13:18:25,1.17.0,Bandit80,17,4.13,,20,20,80,Left,Right,2,3,2,2,,,0.15
3/10/2025 13:18:31,1.17.0,Bandit80,17,4.13,,20,20,80,RightinTimeout,Right,2,3,2,2,,,0.0
3/10/2025 13:20:18,1.17.0,Bandit80,17,4.13,,20,20,80,Left,Right,3,3,2,2,,,0.07
3/10/2025 13:22:22,1.17.0,Bandit80,17,4.13,2.0,20,20,80,Pellet,Right,3,3,3,2,Timed_out,406.0,
3/10/2025 13:22:39,1.17.0,Bandit80,17,4.14,,20,20,80,Right,Right,3,4,3,3,,,0.39
3/10/2025 13:22:40,1.17.0,Bandit80,17,4.13,,20,20,80,RightinTimeout,Right,3,4,3,3,,,0.0
3/10/2025 13:22:42,1.17.0,Bandit80,17,4.14,,20,20,80,RightinTimeout,Right,3,4,3,3,,,0.0
3/10/2025 13:23:39,1.17.0,Bandit80,17,4.14,,20,20,80,Left,Right,4,4,3,3,,,0.19
3/10/2025 13:23:42,1.17.0,Bandit80,17,4.14,,20,20,80,LeftinTimeOut,Right,4,4,3,3,,,
3/10/2025 13:24:06,1.17.0,Bandit80,17,4.13,,20,20,80,Right,Right,4,5,3,3,,,0.0
3/10/2025 13:24:07,1.17.0,Bandit80,17,4.13,,20,20,80,RightDuringDispense,Right,4,5,3,3,,,0.03
3/10/2025 13:24:11,1.17.0,Bandit80,17,4.13,2.0,20,20,80,Pellet,Right,4,5,4,3,1.07,109.0,
3/10/2025 13:25:46,1.17.0,Bandit80,17,4.13,,20,20,80,Left,Right,5,5,4,4,,,0.14
3/10/2025 13:28:09,1.17.0,Bandit80,17,4.13,,20,20,80,Right,Right,5,6,4,4,,,0.0
3/10/2025 13:28:11,1.17.0,Bandit80,17,4.14,1.0,20,20,80,Pellet,Right,5,6,5,4,1.32,240.0,
3/10/2025 13:28:40,1.17.0,Bandit80,17,4.13,,20,20,80,Right,Right,5,7,5,5,,,0.21
3/10/2025 13:31:44,1.17.0,Bandit80,17,4.13,,20,20,80,RightWithPellet,Right,5,7,5,5,,,0.06
3/10/2025 13:32:22,1.17.0,Bandit80,17,4.13,1.0,20,20,80,Pellet,Right,5,7,6,5,Timed_out,251.0,
3/10/2025 13:33:55,1.17.0,Bandit80,17,4.13,,20,20,80,Right,Right,5,8,6,6,,,0.4
3/10/2025 13:33:58,1.17.0,Bandit80,17,4.13,1.0,20,20,80,Pellet,Right,5,8,7,6,2.72,96.0,
3/10/2025 13:34:19,1.17.0,Bandit80,17,4.13,,20,20,80,Right,Right,5,9,7,7,,,0.28
3/10/2025 13:34:21,1.17.0,Bandit80,17,4.13,1.0,20,20,80,Pellet,Right,5,9,8,7,1.89,23.0,
3/10/2025 13:34:41,1.17.0,Bandit80,17,4.13,,20,20,80,Right,Right,5,10,8,8,,,0.02
3/10/2025 13:34:43,1.17.0,Bandit80,17,4.13,,20,20,80,RightinTimeout,Right,5,10,8,8,,,0.0
3/10/2025 13:34:47,1.17.0,Bandit80,17,4.13,,20,20,80,RightinTimeout,Right,5,10,8,8,,,0.0
3/10/2025 13:34:47,1.17.0,Bandit80,17,4.13,,20,20,80,RightinTimeout,Right,5,10,8,8,,,0.0
3/10/2025 13:34:49,1.17.0,Bandit80,17,4.13,,20,20,80,RightinTimeout,Right,5,10,8,8,,,0.0
3/10/2025 13:35:01,1.17.0,Bandit80,17,4.13,,20,20,80,Right,Right,5,11,8,8,,,0.18
3/10/2025 13:35:03,1.17.0,Bandit80,17,4.14,,20,20,80,RightinTimeout,Right,5,11,8,8,,,0.0
3/10/2025 13:39:16,1.17.0,Bandit80,17,4.13,,20,20,80,Left,Right,6,11,8,8,,,0.28
3/10/2025 13:39:17,1.17.0,Bandit80,17,4.14,,20,20,80,LeftinTimeOut,Right,6,11,8,8,,,
3/10/2025 13:39:18,1.17.0,Bandit80,17,4.13,,20,20,80,LeftinTimeOut,Right,6,11,8,8,,,
3/10/2025 13:39:21,1.17.0,Bandit80,17,4.13,,20,20,80,LeftinTimeOut,Right,6,11,8,8,,,
3/10/2025 13:39:21,1.17.0,Bandit80,17,4.13,,20,20,80,LeftinTimeOut,Right,6,11,8,8,,,
3/10/2025 13:39:24,1.17.0,Bandit80,17,4.13,,20,20,80,LeftinTimeOut,Right,6,11,8,8,,,
3/10/2025 13:39:26,1.17.0,Bandit80,17,4.14,,20,20,80,LeftinTimeOut,Right,6,11,8,8,,,
3/10/2025 13:39:28,1.17.0,Bandit80,17,4.13,,20,20,80,LeftinTimeOut,Right,6,11,8,8,,,
3/10/2025 13:39:30,1.17.0,Bandit80,17,4.13,,20,20,80,LeftinTimeOut,Right,6,11,8,8,,,
3/10/2025 13:39:31,1.17.0,Bandit80,17,4.13,,20,20,80,LeftinTimeOut,Right,6,11,8,8,,,
3/10/2025 13:39:32,1.17.0,Bandit80,17,4.13,,20,20,80,LeftinTimeOut,Right,6,11,8,8,,,
3/10/2025 13:39:33,1.17.0,Bandit80,17,4.14,,20,20,80,LeftinTimeOut,Right,6,11,8,8,,,
3/10/2025 13:42:23,1.17.0,Bandit80,17,4.12,,20,20,80,Right,Right,6,12,8,8,,,0.24
3/10/2025 13:42:28,1.17.0,Bandit80,17,4.13,1.0,20,20,80,Pellet,Right,6,12,9,8,4.56,487.0,
3/10/2025 13:42:45,1.17.0,Bandit80,17,4.13,,20,20,80,Right,Right,6,13,9,9,,,0.23
3/10/2025 13:42:45,1.17.0,Bandit80,17,4.13,,20,20,80,RightinTimeout,Right,6,13,9,9,,,0.0
3/10/2025 13:42:45,1.17.0,Bandit80,17,4.13,,20,20,80,RightinTimeout,Right,6,13,9,9,,,0.0
3/10/2025 13:42:46,1.17.0,Bandit80,17,4.13,,20,20,80,RightinTimeout,Right,6,13,9,9,,,0.0
3/10/2025 13:42:47,1.17.0,Bandit80,17,4.13,,20,20,80,RightinTimeout,Right,6,13,9,9,,,0.0
3/10/2025 13:42:48,1.17.0,Bandit80,17,4.13,,20,20,80,RightinTimeout,Right,6,13,9,9,,,0.0
3/10/2025 13:42:49,1.17.0,Bandit80,17,4.13,,20,20,80,RightinTimeout,Right,6,13,9,9,,,0.0
3/10/2025 13:42:49,1.17.0,Bandit80,17,4.13,,20,20,80,RightinTimeout,Right,6,13,9,9,,,0.0
3/10/2025 13:42:51,1.17.0,Bandit80,17,4.13,,20,20,80,RightinTimeout,Right,6,13,9,9,,,0.0
3/10/2025 13:42:51,1.17.0,Bandit80,17,4.13,,20,20,80,RightinTimeout,Right,6,13,9,9,,,0.0
3/10/2025 13:42:52,1.17.0,Bandit80,17,4.13,,20,20,80,RightinTimeout,Right,6,13,9,9,,,0.0
3/10/2025 13:42:56,1.17.0,Bandit80,17,4.12,,20,20,80,LeftinTimeOut,Right,6,13,9,9,,,
3/10/2025 13:43:00,1.17.0,Bandit80,17,4.14,,20,20,80,LeftinTimeOut,Right,6,13,9,9,,,
3/10/2025 13:43:01,1.17.0,Bandit80,17,4.13,,20,20,80,LeftinTimeOut,Right,6,13,9,9,,,
3/10/2025 13:43:05,1.17.0,Bandit80,17,4.12,,20,20,80,RightinTimeout,Right,6,13,9,9,,,0.0
3/10/2025 13:43:05,1.17.0,Bandit80,17,4.13,,20,20,80,RightinTimeout,Right,6,13,9,9,,,0.0
3/10/2025 13:43:05,1.17.0,Bandit80,17,4.13,,20,20,80,RightinTimeout,Right,6,13,9,9,,,0.0
3/10/2025 13:43:07,1.17.0,Bandit80,17,4.13,,20,20,80,RightinTimeout,Right,6,13,9,9,,,0.0
3/10/2025 13:58:46,1.17.0,Bandit80,17,4.13,,20,20,80,Right,Right,6,14,9,9,,,0.17
3/10/2025 13:58:46,1.17.0,Bandit80,17,4.12,,20,20,80,RightDuringDispense,Right,6,14,9,9,,,0.07
3/10/2025 13:58:52,1.17.0,Bandit80,17,4.13,2.0,20,20,80,Pellet,Right,6,14,10,9,3.16,984.0,
3/10/2025 13:59:24,1.17.0,Bandit80,17,4.13,,20,20,80,Left,Right,7,14,10,10,,,0.43
3/10/2025 13:59:25,1.17.0,Bandit80,17,4.13,,20,20,80,LeftinTimeOut,Right,7,14,10,10,,,
3/10/2025 13:59:27,1.17.0,Bandit80,17,4.13,,20,20,80,LeftinTimeOut,Right,7,14,10,10,,,
3/10/2025 13:59:28,1.17.0,Bandit80,17,4.13,,20,20,80,LeftinTimeOut,Right,7,14,10,10,,,
3/10/2025 13:59:30,1.17.0,Bandit80,17,4.13,,20,20,80,LeftinTimeOut,Right,7,14,10,10,,,
