Filename,Task,Strain,MomGenotype,DadGenotype,SSPsyGene_number,Animal_ID,Sex,Genotype,DOB,FED3,Start_Date,StartWeight,EndWeight,,,,
7/9/2024 17:49:47,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,4,1,3,3,nan,nan,nan
7/9/2024 17:49:50,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,4,1,3,3,nan,nan,nan
7/9/2024 17:49:50,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,4,1,3,3,nan,nan,nan
7/9/2024 17:49:51,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,4,1,3,3,nan,nan,nan
7/9/2024 17:49:51,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,4,1,3,3,nan,nan,nan
7/9/2024 17:49:52,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,4,1,3,3,nan,nan,nan
7/9/2024 17:49:54,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,4,1,3,3,nan,nan,nan
7/9/2024 17:50:18,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,5,1,3,3,nan,nan,0.12
7/9/2024 17:50:24,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,5,1,4,3,2.87,67,nan
7/9/2024 17:50:47,1.17.0,Bandit,0,4.16,nan,30,80,20,Right,Left,5,2,4,4,nan,nan,0.05
7/9/2024 17:50:52,1.17.0,Bandit,0,4.16,1,30,80,20,Pellet,Left,5,2,5,4,1.52,28,nan
7/9/2024 17:51:12,1.17.0,Bandit,0,4.16,nan,30,80,20,Left,Left,6,2,5,5,nan,nan,0.44
7/9/2024 17:51:12,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,6,2,5,5,nan,nan,nan
7/9/2024 17:51:13,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,6,2,5,5,nan,nan,nan
7/9/2024 17:51:14,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,6,2,5,5,nan,nan,nan
7/9/2024 17:51:15,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,6,2,5,5,nan,nan,nan
7/9/2024 17:51:16,1.17.0,Bandit,0,4.16,nan,30,80,20,LeftinTimeOut,Left,6,2,5,5,nan,nan,nan
