MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
9/17/2024 11:38:20,1.17.0,Bandit,0,4.14,nan,30,80,20,Left,Left,1,0,0,0,nan,nan,0.45
9/17/2024 11:38:39,1.17.0,Bandit,0,4.14,5,30,80,20,Pellet,Left,1,0,1,0,8.08,nan,nan
9/17/2024 11:39:01,1.17.0,Bandit,0,4.14,nan,30,80,20,Left,Left,2,0,1,1,nan,nan,0.56
9/17/2024 11:42:19,1.17.0,Bandit,0,4.14,5,30,80,20,Pellet,Left,2,0,2,1,Timed_out,220,nan
9/17/2024 11:45:15,1.17.0,Bandit,0,4.14,nan,30,80,20,Left,Left,3,0,2,2,nan,nan,0.38
9/17/2024 11:46:05,1.17.0,Bandit,0,4.14,nan,30,80,20,Left,Left,4,0,2,2,nan,nan,0.21
9/17/2024 11:47:07,1.17.0,Bandit,0,4.14,nan,30,80,20,Right,Left,4,1,2,2,nan,nan,0.67
9/17/2024 11:47:57,1.17.0,Bandit,0,4.14,nan,30,80,20,Left,Left,5,1,2,2,nan,nan,0.21
9/17/2024 11:48:03,1.17.0,Bandit,0,4.14,3,30,80,20,Pellet,Left,5,1,3,2,0.42,344,nan
9/17/2024 11:48:34,1.17.0,Bandit,0,4.14,nan,30,80,20,Left,Left,6,1,3,3,nan,nan,0.10
9/17/2024 11:48:46,1.17.0,Bandit,0,4.14,1,30,80,20,Pellet,Left,6,1,4,3,8.81,43,nan
9/17/2024 11:48:52,1.17.0,Bandit,0,4.14,nan,30,80,20,Right,Left,6,2,4,4,nan,nan,0.02
9/17/2024 11:49:11,1.17.0,Bandit,0,4.14,nan,30,80,20,LeftinTimeOut,Left,6,2,4,4,nan,nan,nan
9/17/2024 11:50:59,1.17.0,Bandit,0,4.14,nan,30,80,20,Left,Left,7,2,4,4,nan,nan,0.22
9/17/2024 11:51:07,1.17.0,Bandit,0,4.14,1,30,80,20,Pellet,Left,7,2,5,4,4.71,141,nan
9/17/2024 11:53:06,1.17.0,Bandit,0,4.14,nan,30,80,20,Right,Left,7,3,5,5,nan,nan,0.05
9/17/2024 11:54:46,1.17.0,Bandit,0,4.14,nan,30,80,20,Left,Left,8,3,5,5,nan,nan,0.20
9/17/2024 11:54:49,1.17.0,Bandit,0,4.14,1,30,80,20,Pellet,Left,8,3,6,5,0.42,222,nan
9/17/2024 11:54:58,1.17.0,Bandit,0,4.14,nan,30,80,20,Right,Left,8,4,6,6,nan,nan,0.05
9/17/2024 11:55:02,1.17.0,Bandit,0,4.14,1,30,80,20,Pellet,Left,8,4,7,6,0.18,13,nan
9/17/2024 11:55:13,1.17.0,Bandit,0,4.14,nan,30,80,20,Right,Left,8,5,7,7,nan,nan,0.21
9/17/2024 11:57:08,1.17.0,Bandit,0,4.14,nan,30,80,20,Right,Left,8,6,7,7,nan,nan,0.31
9/17/2024 11:58:02,1.17.0,Bandit,0,4.14,nan,30,80,20,Left,Left,9,6,7,7,nan,nan,0.19
9/17/2024 11:58:05,1.17.0,Bandit,0,4.14,1,30,80,20,Pellet,Left,9,6,8,7,0.24,183,nan
9/17/2024 11:58:18,1.17.0,Bandit,0,4.13,nan,30,80,20,Right,Left,9,7,8,8,nan,nan,0.41
9/17/2024 12:00:47,1.17.0,Bandit,0,4.14,nan,30,80,20,Right,Left,9,8,8,8,nan,nan,0.24
9/17/2024 12:01:45,1.17.0,Bandit,0,4.14,nan,30,80,20,Right,Left,9,9,8,8,nan,nan,0.24
9/17/2024 12:01:58,1.17.0,Bandit,0,4.14,nan,30,80,20,Left,Left,10,9,8,8,nan,nan,0.16
9/17/2024 12:02:01,1.17.0,Bandit,0,4.14,2,30,80,20,Pellet,Left,10,9,9,8,0.06,236,nan
9/17/2024 12:03:07,1.17.0,Bandit,0,4.14,nan,30,80,20,Left,Left,11,9,9,9,nan,nan,0.02
9/17/2024 12:05:09,1.17.0,Bandit,0,4.14,nan,30,80,20,Left,Left,12,9,9,9,nan,nan,0.23
9/17/2024 12:06:08,1.17.0,Bandit,0,4.14,nan,30,80,20,Left,Left,13,9,9,9,nan,nan,0.04
9/17/2024 12:06:12,1.17.0,Bandit,0,4.14,1,30,80,20,Pellet,Left,13,9,10,9,0.06,251,nan
9/17/2024 12:06:31,1.17.0,Bandit,0,4.14,nan,30,80,20,Right,Left,13,10,10,10,nan,nan,0.20
9/17/2024 12:10:41,1.17.0,Bandit,0,4.13,nan,30,80,20,Right,Left,13,11,10,10,nan,nan,0.22
9/17/2024 12:11:15,1.17.0,Bandit,0,4.14,nan,30,80,20,Right,Left,13,12,10,10,nan,nan,0.16
9/17/2024 12:13:16,1.17.0,Bandit,0,4.14,nan,30,80,20,Left,Left,14,12,10,10,nan,nan,0.22
9/17/2024 12:14:03,1.17.0,Bandit,0,4.14,nan,30,80,20,Right,Left,14,13,10,10,nan,nan,0.22
9/17/2024 12:14:04,1.17.0,Bandit,0,4.14,nan,30,80,20,LeftinTimeOut,Left,14,13,10,10,nan,nan,nan
9/17/2024 12:14:45,1.17.0,Bandit,0,4.14,nan,30,80,20,Right,Left,14,14,10,10,nan,nan,0.03
