Filename,Task,Strain,MomGenotype,DadGenotype,SSPsyGene_number,Animal_ID,Sex,Genotype,DOB,FED3,Start_Date,StartWeight,EndWeight
FED006_033125,Bandit100,DNMT3a,,,2,24_2,f,Wt,1/6/2025,006,3/31/2025,20.45,21.05
FED006_040325_00,FR1,DNMT3a,,,2,24_2,f,Wt,1/6/2025,006,3/31/2025,20.45,21.05
FED006_040725_00,Bandit80,DNMT3a,,,2,24_2,f,Wt,1/6/2025,006,3/31/2025,20.68,21.05
FED007_033125,Bandit100,DNMT3a,,,2,22_11,f,Wt,1/8/2025,007,3/31/2025,17.48,17.97
FED007_040325_00,FR1,DNMT3a,,,2,22_11,f,Wt,1/8/2025,007,3/31/2025,17.48,17.97
FED007_040725_00,Bandit80,DNMT3a,,,2,22_11,f,Wt,1/8/2025,007,3/31/2025,18.44,18.43
FED007_042825,Bandit100,DNMT3a,,,2,26_55,f,Wt,2/6/2025,007,4/28/2025,19.3,18.64
FED007_050125_00,FR1,DNMT3a,,,2,26_55,f,Wt,2/6/2025,007,4/28/2025,19.3,18.64
FED007_050525_00,Bandit80,DNMT3a,,,2,26_55,f,Wt,2/6/2025,007,4/28/2025,19.26,19.62
FED008_033125,Bandit100,DNMT3a,,,2,22_9,f,Wt,1/8/2025,008,3/31/2025,18.03,18.72
FED008_040325_00,FR1,DNMT3a,,,2,22_9,f,Wt,1/8/2025,008,3/31/2025,18.03,18.72
FED008_040425_00,Bandit80,DNMT3a,,,2,22_9,f,Wt,1/8/2025,008,3/31/2025,17.86,19.38
FED009_033125,Bandit100,DNMT3a,,,2,23_5,f,Wt,1/10/2025,009,3/31/2025,17.72,17.06
FED009_040325_00,FR1,DNMT3a,,,2,23_5,f,Wt,1/10/2025,009,3/31/2025,17.72,17.06
FED009_040725_00,Bandit80,DNMT3a,,,2,23_5,f,Wt,1/10/2025,009,3/31/2025,17.57,17.85
FED009_042825,Bandit100,DNMT3a,,,2,19_53,f,Wt,2/6/2025,009,4/28/2025,16.87,17.07
FED009_050125_00,FR1,DNMT3a,,,2,19_53,f,Wt,2/6/2025,009,4/28/2025,16.87,17.07
FED009_050525_00,Bandit80,DNMT3a,,,2,19_53,f,Wt,2/6/2025,009,4/28/2025,17.22,18.35
